date,serving,num_red_served,num_green_served,red_remaining,green_remaining,red_position,green_position,serving_time,food_dye_drops,preference,notes
2024-08-27,1,20,20,20,0,left,right,14:23,10,green,first trial day
2024-08-27,2,0,20,,,left,right,14:36,10,,second serving same day
2024-08-28,1,100,100,52,55,right,left,13:30,12,red,changed to 12 drops
2024-08-29,1,100,100,100,100,left,right,11:19,,none,Mi did not eat
2024-08-30,1,100,100,20,,left,,12:29,,red,
2024-08-31,1,100,100,100,72,,right,16:46,,green,
2024-09-01,1,100,100,100,19,right,left,16:50,9,green,9 drops each
2024-09-02,1,100,100,96,,left,,16:15,,green,
2024-09-03,1,100,100,100,100,left,right,14:27,10,none,Mi did not eat
2024-09-04,1,100,100,,100,left,,12:45,,green,new food on table
2024-09-05,1,100,100,,56,,,,,green,
2024-09-06,1,100,100,,,left,right,,10,red,
2024-09-07,1,100,100,,,right,left,,,green,
2024-09-08,1,100,100,,,left,right,,,red,
2024-09-09,1,100,100,,,right,left,,,green,
2024-09-10,1,100,100,,,left,right,,,red,
2024-09-11,1,100,100,,,right,left,,,green,
2024-09-12,1,100,100,,,left,right,,,red,
2024-09-13,1,100,100,,,right,left,,,green,
2024-09-14,1,100,100,,,left,right,,,red,
2024-09-15,1,100,100,,,right,left,,,green,
2024-09-16,1,100,100,,,left,right,,,red,
2024-09-17,1,100,100,,,right,left,,,green,
2024-09-18,1,100,100,,,left,right,,,red,
2024-09-19,1,100,100,,,right,left,,,green,
2024-09-20,1,100,100,,,left,right,,,red,
2024-09-21,1,100,100,,,right,left,,,green,
2024-09-22,1,100,100,,,left,right,,,red,
2024-09-23,1,100,100,,,right,left,,,green,
2024-09-24,1,100,100,,,left,right,,,green,
2024-09-25,1,100,100,,,right,left,,,red,
2024-09-26,1,100,100,,,left,right,,,red,
