wavenumber,transmittance,absorbance
550.095200,66.658160,0.176147
550.577300,66.529880,0.176983
551.059400,66.428050,0.177648
551.541500,66.347430,0.178176
552.023600,66.287990,0.178565
552.505700,66.414470,0.177737
552.987900,66.389340,0.177902
553.470000,66.506130,0.177138
553.952100,66.692920,0.175920
554.434200,66.913940,0.174483
554.916300,67.137790,0.173033
555.398400,67.309940,0.171921
555.880600,67.392070,0.171391
556.362700,67.423080,0.171191
556.844800,67.340970,0.171721
557.326900,67.174550,0.172795
557.809000,66.963910,0.174159
558.291100,66.746000,0.175575
558.773300,66.695720,0.175902
559.255400,66.576830,0.176677
559.737500,66.525360,0.177013
560.219600,66.540270,0.176915
560.701700,66.604160,0.176499
561.183800,66.708890,0.175816
561.666000,66.812010,0.175145
562.148100,66.959690,0.174187
562.630200,67.112810,0.173195
563.112300,67.297050,0.172004
563.594400,67.596080,0.170078
564.076500,67.912190,0.168052
564.558700,68.193130,0.166259
565.040800,68.397950,0.164957
565.522900,68.500480,0.164306
566.005000,68.508640,0.164255
566.487100,68.459940,0.164563
566.969200,68.405500,0.164909
567.451400,68.386920,0.165027
567.933500,68.420920,0.164811
568.415600,68.513320,0.164225
568.897700,68.734370,0.162826
569.379800,68.885570,0.161872
569.861900,69.003270,0.161130
570.344100,69.049510,0.160839
570.826200,69.028050,0.160974
571.308300,69.008450,0.161098
571.790400,68.931960,0.161579
572.272500,68.806800,0.162369
572.754600,68.754400,0.162700
573.236800,68.618570,0.163558
573.718900,68.503610,0.164287
574.201000,68.418620,0.164826
574.683100,68.369140,0.165140
575.165200,68.343070,0.165306
575.647300,68.320810,0.165447
576.129500,68.286200,0.165667
576.611600,68.232350,0.166010
577.093700,68.151660,0.166524
577.575800,68.038250,0.167247
578.057900,67.894320,0.168167
578.540000,67.732700,0.169202
579.022200,67.568990,0.170253
579.504300,67.416440,0.171234
579.986400,67.286280,0.172073
580.468500,67.184390,0.172732
580.950600,67.110860,0.173207
581.432700,67.067060,0.173491
581.914900,67.056190,0.173561
582.397000,67.081920,0.173395
582.879100,67.137490,0.173035
583.361200,67.211800,0.172554
583.843300,67.295460,0.172014
584.325400,67.386320,0.171428
584.807600,67.490390,0.170758
585.289700,67.622410,0.169909
585.771800,67.805560,0.168735
586.253900,68.057940,0.167121
586.736000,68.374240,0.165107
587.218100,68.326980,0.165408
587.700300,68.296560,0.165601
588.182400,68.300040,0.165579
588.664500,68.322410,0.165437
589.146600,68.336420,0.165348
589.628700,68.324940,0.165421
590.110800,68.294850,0.165612
590.593000,68.272230,0.165756
591.075100,68.284020,0.165681
591.557200,68.336680,0.165346
592.039300,68.408240,0.164892
592.521400,68.460560,0.164560
593.003500,68.463010,0.164544
