Subject,Date,Textbook,Finished,Highlighted,Olympiad
Mathematics,December 2025,"Calculus: Early Transcendentals by James Stewart",No,Yes,No
Mathematics,May 2025,"Advanced Placement Calculus BC Exam",Yes,No,No
Mathematics,May 2024,"Advanced Placement Precalculus Exam",Yes,No,No
Mathematics,May 2024,"The Art of Problem Solving by Richard Rusczyk et al",Yes,No,No
Mathematics,September 2023,"Precalculus Mathematics in a Nutshell by George F. Simmons",No,Yes,No
Computing,May 2026,"Advanced Placement Statistics Exam",No,No,No
Computing,May 2025,"Advanced Placement Statistics Exam",Yes,No,No
Computing,May 2025,"Advanced Placement Computer Science A Exam",Yes,No,No
Computing,May 2024,"Advanced Placement Computer Science A Exam",Yes,No,No
Computing,May 2024,"Advanced Placement Computer Science Principles Exam",Yes,No,No
Physics,May 2026,"Advanced Placement Physics 2 Exam",No,No,No
Physics,May 2026,"Advanced Placement Physics C: Electricity and Magnetism Exam",No,No,No
Physics,December 2025,"Physics: Principles with Applications by Douglas C. Giancoli",Yes,No,No
Physics,December 2025,"Physics by Halliday, Resnick and Krane",Yes,No,No
Physics,May 2025,"Advanced Placement Physics 1 Exam",Yes,No,No
Physics,May 2025,"Advanced Placement Physics 2 Exam",Yes,No,No
Physics,May 2025,"Advanced Placement Physics C: Mechanics Exam",Yes,No,No
Physics,May 2025,"Advanced Placement Physics C: Electricity and Magnetism Exam",Yes,No,No
Physics,May 2024,"University Physics by Richard Wolfson",No,Yes,No
Physics,May 2024,"Advanced Placement Physics 1 Exam",Yes,No,No
Physics,March 2024,"Johns Hopkins University Center for Talented Youth AP Physics 1",Yes,No,No
Chemistry,May 2026,"Advanced Placement Chemistry Exam",No,No,No
Chemistry,December 2025,"Chemical Principles: The Quest for Insight by Peter Atkins",Yes,No,No
Chemistry,May 2025,"Advanced Placement Chemistry Exam",Yes,No,No
Chemistry,April 2025,"Chemistry by Zumdahl and Zumdahl",No,Yes,No
Chemistry,May 2024,"Advanced Placement Chemistry Exam",Yes,No,No
Chemistry,March 2024,"Johns Hopkins University Center for Talented Youth AP Chemistry",Yes,No,No
Biology,May 2026,"Advanced Placement Biology Exam",No,No,No
Biology,May 2025,"Biology: A Global Approach by Neil A. Campbell",No,Yes,No
Biology,May 2025,"Advanced Placement Psychology Exam",Yes,No,No
Biology,May 2025,"Advanced Placement Biology Exam",Yes,No,No
Biology,May 2024,"Advanced Placement Biology Exam",Yes,No,No
Biology,March 2024,"Johns Hopkins University Center for Talented Youth AP Biology",Yes,No,No
Astronomy,August 2024,"Fundamental Astronomy by Hannu Karttunen et al",Yes,No,No
Astronomy,July 2024,"Everaise Academy: Astronomy by Je Qin Chooi and Gregory Pylypovych",Yes,No,No
Astronomy,June 2024,"Fundamentals of Astronomy: A Guide for Olympiads by Flavio Salvati",Yes,No,No
Mathematics,Future,"Differential Equations with Applications and Historical Notes by George F. Simmons",No,No,Yes
Mathematics,Future,"Linear Algebra Done Right by Sheldon Axler",No,No,Yes
Mathematics,Future,"Olympiad Training for Individual Study by Evan Chen",No,Yes,Yes
Mathematics,Future,"The Art of Problem Solving Math Worldwide Online Olympiad Training A",No,No,Yes
Mathematics,Future,"The Art of Problem Solving Math Worldwide Online Olympiad Training B",No,No,Yes
Mathematics,June 2026,"Euclidean Geometry in Mathematical Olympiads by Evan Chen",No,Yes,Yes
Mathematics,June 2026,"AwesomeMath Summer Program",No,Yes,Yes
Mathematics,November 2025,"Athemath Women in Math Online Social Network",Yes,No,Yes
Mathematics,September 2025,"The Art of Problem Solving American Mathematics Competition 12 Series",Yes,No,Yes
Mathematics,July 2025,"MathPath Summer Camp at Mount Holyoke College",Yes,No,Yes
Mathematics,July 2024,"MathPath Summer Camp at Rockhurst University",Yes,No,Yes
Mathematics,May 2024,"The Art of Problem Solving Book Series by Richard Rusczyk et al",No,Yes,Yes
Computing,Future,"The Art of Problem Solving Code Worldwide Online Olympiad Training",No,No,Yes
Computing,June 2026,"Introduction to Machine Learning by Etienne Bernard",No,No,Yes
