wavenumber,transmittance,absorbance
550.095200,106.821800,-0.028660
550.577300,106.401600,-0.026948
551.059400,106.184800,-0.026062
551.541500,106.148600,-0.025914
552.023600,106.269300,-0.026408
552.505700,106.226300,-0.026232
552.987900,106.456800,-0.027173
553.470000,106.574500,-0.027653
553.952100,106.590600,-0.027719
554.434200,106.530700,-0.027475
554.916300,106.404100,-0.026958
555.398400,106.273900,-0.026427
555.880600,106.106700,-0.025743
556.362700,105.908600,-0.024931
556.844800,105.732700,-0.024209
557.326900,105.607800,-0.023696
557.809000,105.551900,-0.023466
558.291100,105.614600,-0.023724
558.773300,105.586200,-0.023607
559.255400,105.819500,-0.024566
559.737500,106.115500,-0.025779
560.219600,106.332400,-0.026666
560.701700,106.393800,-0.026916
561.183800,106.310800,-0.026577
561.666000,106.146200,-0.025904
562.148100,105.909100,-0.024933
562.630200,105.761800,-0.024329
563.112300,105.769900,-0.024362
563.594400,105.776400,-0.024389
564.076500,105.973400,-0.025197
564.558700,106.223800,-0.026222
565.040800,106.414100,-0.026999
565.522900,106.539500,-0.027511
566.005000,106.598300,-0.027750
566.487100,106.621100,-0.027843
566.969200,106.655700,-0.027984
567.451400,106.727600,-0.028277
567.933500,106.812100,-0.028620
568.415600,106.777700,-0.028481
568.897700,106.607600,-0.027788
569.379800,106.476300,-0.027253
569.861900,106.274600,-0.026429
570.344100,106.070900,-0.025596
570.826200,105.919700,-0.024977
571.308300,105.763900,-0.024337
571.790400,105.722100,-0.024166
572.272500,105.781200,-0.024408
572.754600,105.757900,-0.024313
573.236800,105.881000,-0.024818
573.718900,105.943600,-0.025075
574.201000,105.884600,-0.024833
574.683100,105.691000,-0.024038
575.165200,105.384400,-0.022776
575.647300,105.020000,-0.021272
576.129500,104.674000,-0.019839
576.611600,104.433900,-0.018841
577.093700,104.346500,-0.018478
577.575800,104.391500,-0.018665
578.057900,104.492200,-0.019084
578.540000,104.562500,-0.019376
579.022200,104.531700,-0.019248
579.504300,104.366000,-0.018559
579.986400,104.084000,-0.017384
580.468500,103.753200,-0.016002
580.950600,103.459600,-0.014771
