"Storage 211743 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_211743.spc"
"Wavelength nm.","Abs."
190.00,-0.384
190.50,-0.313
191.00,-0.328
191.50,-0.272
192.00,-0.318
192.50,-0.264
193.00,-0.282
193.50,-0.293
194.00,-0.210
194.50,-0.302
195.00,-0.233
195.50,-0.195
196.00,-0.264
196.50,-0.250
197.00,-0.225
197.50,-0.256
198.00,-0.219
198.50,-0.184
199.00,-0.146
199.50,-0.128
200.00,-0.007
200.50,-0.059
201.00,-0.056
201.50,-0.023
202.00,-0.047
202.50,-0.029
203.00,-0.042
203.50,-0.071
204.00,-0.022
204.50,-0.027
205.00,-0.040
205.50,-0.043
206.00,-0.030
206.50,0.091
207.00,0.026
207.50,5.000
208.00,-0.079
208.50,-0.073
209.00,-0.067
209.50,-0.060
210.00,-0.040
210.50,-0.025
211.00,0.124
211.50,0.108
212.00,0.123
212.50,0.151
213.00,0.338
213.50,0.136
214.00,0.212
214.50,0.111
215.00,0.037
215.50,0.094
216.00,0.066
216.50,0.086
217.00,0.094
217.50,0.097
218.00,0.090
218.50,0.078
219.00,0.075
219.50,0.077
220.00,0.058
220.50,0.065
221.00,0.066
221.50,0.064
222.00,0.073
222.50,0.081
223.00,0.073
223.50,0.068
224.00,0.079
224.50,0.078
225.00,0.072
225.50,0.068
226.00,0.075
226.50,0.063
227.00,0.054
227.50,0.067
228.00,0.064
228.50,0.065
229.00,0.066
229.50,0.060
230.00,0.053
230.50,0.055
231.00,0.048
231.50,0.059
232.00,0.049
232.50,0.057
233.00,0.042
233.50,0.034
234.00,0.029
234.50,0.041
235.00,0.034
235.50,0.031
236.00,0.044
236.50,0.040
237.00,0.037
237.50,0.022
238.00,0.024
238.50,0.034
239.00,0.025
239.50,0.027
240.00,0.022
240.50,0.024
241.00,0.032
241.50,0.027
242.00,0.023
242.50,0.014
243.00,0.021
243.50,-0.056
244.00,-0.189
244.50,-0.025
245.00,0.022
245.50,0.016
246.00,0.011
246.50,0.013
247.00,0.001
247.50,-0.001
248.00,0.007
248.50,0.006
249.00,-0.018
249.50,-0.023
250.00,-0.002
250.50,-0.014
251.00,-0.016
251.50,-0.007
252.00,-0.010
252.50,-0.020
253.00,-0.023
253.50,-0.020
254.00,-0.021
254.50,-0.041
255.00,-0.020
255.50,-0.015
256.00,-0.016
256.50,-0.031
257.00,-0.017
257.50,-0.023
258.00,-0.019
258.50,-0.162
