"Storage 212309 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_212309.spc"
"Wavelength nm.","Abs."
190.00,5.000
190.50,5.000
191.00,5.000
191.50,5.000
192.00,2.095
192.50,1.448
193.00,2.051
193.50,1.847
194.00,1.735
194.50,1.692
195.00,5.000
195.50,5.000
196.00,5.000
196.50,2.050
197.00,2.079
197.50,2.676
198.00,5.000
198.50,5.000
199.00,2.358
199.50,2.197
200.00,3.277
200.50,2.364
201.00,5.000
201.50,4.312
202.00,5.000
202.50,5.000
203.00,5.000
203.50,5.000
204.00,3.048
204.50,2.666
205.00,5.000
205.50,3.048
206.00,3.838
206.50,5.000
207.00,5.000
207.50,5.000
208.00,5.000
208.50,5.000
209.00,5.000
209.50,3.184
210.00,2.642
210.50,3.290
211.00,2.947
211.50,5.000
212.00,5.000
212.50,5.000
213.00,5.000
213.50,5.000
214.00,3.089
214.50,3.252
215.00,5.000
215.50,5.000
216.00,3.889
216.50,2.935
217.00,2.947
217.50,3.124
218.00,3.163
218.50,5.000
219.00,5.000
219.50,3.889
220.00,5.000
220.50,5.000
221.00,5.000
221.50,4.013
222.00,5.000
222.50,5.000
223.00,3.679
223.50,5.000
224.00,5.000
224.50,3.946
225.00,5.000
225.50,3.304
226.00,5.000
226.50,5.000
227.00,4.312
227.50,5.000
228.00,5.000
228.50,3.838
229.00,5.000
229.50,5.000
230.00,3.097
230.50,5.000
231.00,3.647
231.50,5.000
232.00,3.494
232.50,5.000
233.00,5.000
233.50,4.312
234.00,5.000
234.50,5.000
235.00,5.000
235.50,5.000
236.00,3.793
236.50,5.000
237.00,3.946
237.50,3.494
238.00,5.000
238.50,5.000
239.00,5.000
239.50,4.312
240.00,4.786
240.50,3.318
241.00,5.000
241.50,4.092
242.00,4.092
242.50,4.092
243.00,4.312
243.50,3.838
244.00,4.786
244.50,3.793
245.00,4.092
245.50,5.000
246.00,3.590
246.50,3.946
247.00,3.751
247.50,5.000
248.00,5.000
248.50,3.414
249.00,3.946
249.50,5.000
250.00,3.838
250.50,5.000
251.00,5.000
251.50,5.000
252.00,4.786
252.50,5.000
253.00,5.000
253.50,5.000
254.00,5.000
254.50,3.946
255.00,4.312
255.50,5.000
256.00,3.946
256.50,5.000
257.00,5.000
257.50,5.000
258.00,3.838
258.50,3.946
259.00,5.000
259.50,5.000
260.00,3.751
260.50,4.312
261.00,5.000
261.50,4.092
262.00,5.000
262.50,3.946
263.00,4.312
263.50,3.679
264.00,3.617
264.50,5.000
265.00,5.000
265.50,3.564
266.00,3.751
266.50,5.000
267.00,4.786
267.50,3.564
268.00,5.000
268.50,5.000
269.00,5.000
269.50,5.000
270.00,5.000
270.50,5.000
271.00,3.838
271.50,4.786
272.00,3.380
272.50,4.786
273.00,4.092
273.50,5.000
274.00,3.679
274.50,5.000
275.00,3.751
275.50,3.617
276.00,3.838
276.50,5.000
277.00,4.312
277.50,3.838
278.00,5.000
278.50,4.786
279.00,4.786
279.50,3.679
280.00,3.617
280.50,3.838
281.00,4.786
281.50,4.092
282.00,5.000
282.50,3.516
283.00,3.414
283.50,3.946
284.00,3.516
284.50,3.617
285.00,3.617
285.50,3.946
286.00,4.786
286.50,5.000
287.00,3.265
287.50,5.000
288.00,3.946
288.50,3.473
289.00,3.679
289.50,5.000
290.00,3.564
290.50,3.679
291.00,5.000
291.50,3.751
292.00,3.946
292.50,5.000
293.00,3.433
293.50,5.000
294.00,4.786
294.50,5.000
295.00,3.946
295.50,5.000
296.00,4.312
296.50,4.092
297.00,4.092
297.50,3.056
298.00,3.494
298.50,2.991
299.00,3.397
299.50,5.000
300.00,3.347
300.50,3.228
301.00,5.000
301.50,5.000
302.00,5.000
302.50,3.380
303.00,4.786
303.50,3.617
304.00,3.564
304.50,3.332
305.00,5.000
305.50,3.124
306.00,3.277
306.50,3.494
307.00,3.332
307.50,3.414
308.00,3.106
308.50,4.312
309.00,4.312
309.50,5.000
310.00,5.000
310.50,3.048
311.00,3.153
311.50,3.397
312.00,3.041
312.50,5.000
313.00,4.092
313.50,5.000
314.00,3.124
314.50,3.679
315.00,3.414
315.50,3.097
316.00,2.716
316.50,2.706
317.00,2.450
317.50,2.284
318.00,2.238
318.50,2.091
319.00,1.976
319.50,1.835
320.00,1.761
320.50,1.712
321.00,1.556
321.50,1.413
322.00,1.331
322.50,1.231
323.00,1.153
323.50,1.047
324.00,0.989
324.50,0.905
325.00,0.866
325.50,0.773
326.00,0.701
326.50,0.699
327.00,0.632
327.50,0.609
328.00,0.555
328.50,0.496
329.00,0.488
329.50,0.438
330.00,0.414
330.50,0.374
331.00,0.356
331.50,0.354
332.00,0.305
332.50,0.313
333.00,0.285
333.50,0.259
334.00,0.237
334.50,0.241
335.00,0.221
335.50,0.194
336.00,0.171
336.50,0.177
337.00,0.171
337.50,0.165
338.00,0.145
338.50,0.131
339.00,0.121
339.50,0.102
340.00,0.107
340.50,0.091
341.00,0.102
341.50,0.084
342.00,0.083
342.50,0.075
343.00,0.061
343.50,0.060
344.00,0.057
344.50,0.053
345.00,0.063
345.50,0.066
346.00,0.057
346.50,0.044
347.00,0.048
347.50,0.054
348.00,0.046
348.50,0.037
349.00,0.033
349.50,0.040
350.00,0.030
350.50,0.031
351.00,0.024
351.50,0.023
352.00,0.022
352.50,0.037
353.00,0.019
353.50,0.031
354.00,0.021
354.50,0.025
355.00,0.024
355.50,0.021
356.00,0.002
356.50,0.014
357.00,0.024
357.50,0.020
358.00,0.031
358.50,0.022
359.00,0.011
359.50,0.008
360.00,0.017
360.50,0.031
361.00,0.024
361.50,0.021
362.00,0.016
362.50,0.019
363.00,0.026
363.50,0.025
364.00,0.017
364.50,0.012
365.00,0.001
365.50,0.010
366.00,0.023
366.50,0.016
367.00,0.008
367.50,0.011
368.00,0.012
368.50,0.019
369.00,0.019
369.50,0.010
370.00,0.014
370.50,0.017
371.00,0.020
371.50,0.015
372.00,0.015
372.50,0.016
373.00,0.021
373.50,0.020
374.00,0.016
374.50,0.018
375.00,0.015
375.50,0.023
376.00,0.019
376.50,0.012
377.00,0.007
377.50,0.012
378.00,0.015
378.50,0.019
379.00,0.016
379.50,0.007
380.00,0.016
380.50,0.012
381.00,0.010
381.50,0.009
382.00,0.014
382.50,0.009
383.00,0.009
383.50,0.014
384.00,0.016
384.50,0.017
385.00,0.015
385.50,0.019
386.00,0.020
386.50,0.016
387.00,0.019
387.50,0.020
388.00,0.024
388.50,0.020
389.00,0.017
389.50,0.018
390.00,0.012
390.50,0.006
391.00,0.013
391.50,0.020
392.00,0.017
392.50,0.022
393.00,0.020
393.50,0.021
394.00,0.016
394.50,0.013
395.00,0.019
395.50,0.016
396.00,0.014
396.50,0.009
397.00,0.013
397.50,0.017
398.00,0.016
398.50,0.014
399.00,0.017
399.50,0.021
400.00,0.015
400.50,0.022
401.00,0.018
401.50,0.023
402.00,0.017
402.50,0.019
403.00,0.011
403.50,0.013
404.00,0.016
404.50,0.016
405.00,0.021
405.50,0.019
406.00,0.021
406.50,0.017
407.00,0.013
407.50,0.013
408.00,0.016
408.50,0.010
409.00,0.017
409.50,0.014
410.00,0.013
410.50,0.013
411.00,0.021
411.50,0.017
412.00,0.019
412.50,0.023
413.00,0.021
413.50,0.024
414.00,0.012
414.50,0.013
415.00,0.007
415.50,0.010
416.00,0.013
416.50,0.014
417.00,0.013
417.50,0.019
418.00,0.016
418.50,0.022
419.00,0.016
419.50,0.017
420.00,0.012
420.50,0.015
421.00,0.015
421.50,0.020
422.00,0.019
422.50,0.014
423.00,0.015
423.50,0.016
424.00,0.018
424.50,0.015
425.00,0.019
425.50,0.017
426.00,0.020
426.50,0.019
427.00,0.020
427.50,0.017
428.00,0.014
428.50,0.017
429.00,0.016
429.50,0.012
430.00,0.013
430.50,0.019
431.00,0.010
431.50,0.013
432.00,0.019
432.50,0.017
433.00,0.015
433.50,0.012
434.00,0.018
434.50,0.017
435.00,0.020
435.50,0.016
436.00,0.018
436.50,0.015
437.00,0.015
437.50,0.015
438.00,0.015
438.50,0.013
439.00,0.011
439.50,0.010
440.00,0.016
440.50,0.019
441.00,0.016
441.50,0.015
442.00,0.015
442.50,0.018
443.00,0.019
443.50,0.013
444.00,0.014
444.50,0.014
445.00,0.014
445.50,0.018
446.00,0.018
446.50,0.017
447.00,0.014
447.50,0.019
448.00,0.017
448.50,0.015
449.00,0.014
449.50,0.017
450.00,0.017
450.50,0.021
451.00,0.013
451.50,0.021
452.00,0.018
452.50,0.011
453.00,0.019
453.50,0.013
454.00,0.014
454.50,0.017
455.00,0.020
455.50,0.016
456.00,0.012
456.50,0.014
457.00,0.015
457.50,0.013
458.00,0.015
458.50,0.016
459.00,0.015
459.50,0.013
460.00,0.017
460.50,0.015
461.00,0.012
461.50,0.015
462.00,0.013
462.50,0.013
463.00,0.010
463.50,0.010
464.00,0.013
464.50,0.016
465.00,0.016
465.50,0.014
466.00,0.018
466.50,0.020
467.00,0.023
467.50,0.017
468.00,0.020
468.50,0.019
469.00,0.018
469.50,0.015
470.00,0.017
470.50,0.017
471.00,0.015
471.50,0.016
472.00,0.015
472.50,0.014
473.00,0.016
473.50,0.015
474.00,0.012
474.50,0.017
475.00,0.014
475.50,0.013
476.00,0.015
476.50,0.011
477.00,0.010
477.50,0.013
478.00,0.017
478.50,0.014
479.00,0.016
479.50,0.016
480.00,0.018
480.50,0.016
481.00,0.013
481.50,0.016
482.00,0.015
