"Storage 213520 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_213520.spc"
"Wavelength nm.","Abs."
190.00,5.000
190.50,5.000
191.00,-4.000
191.50,5.000
192.00,5.000
192.50,0.144
193.00,0.069
193.50,1.200
194.00,5.000
194.50,5.000
195.00,5.000
195.50,5.000
196.00,0.066
196.50,5.000
197.00,0.202
197.50,0.182
198.00,5.000
198.50,0.189
199.00,5.000
199.50,5.000
200.00,5.000
200.50,1.025
201.00,0.855
201.50,0.866
202.00,1.556
202.50,1.522
203.00,1.513
203.50,1.409
204.00,2.310
204.50,1.469
205.00,1.795
205.50,5.000
206.00,1.781
206.50,5.000
207.00,5.000
207.50,3.617
208.00,2.906
208.50,5.000
209.00,5.000
209.50,2.117
210.00,2.785
210.50,2.812
211.00,2.757
211.50,3.713
212.00,2.499
212.50,2.642
213.00,5.000
213.50,2.621
214.00,2.941
214.50,5.000
215.00,2.382
215.50,2.405
216.00,5.000
216.50,2.610
217.00,3.106
217.50,5.000
218.00,5.000
218.50,5.000
219.00,5.000
219.50,5.000
220.00,5.000
220.50,5.000
221.00,5.000
221.50,2.648
222.00,2.941
222.50,2.785
223.00,5.000
223.50,3.033
224.00,3.347
224.50,5.000
225.00,3.072
225.50,5.000
226.00,3.679
226.50,3.240
227.00,3.433
227.50,3.751
228.00,5.000
228.50,5.000
229.00,5.000
229.50,5.000
230.00,5.000
230.50,3.889
231.00,4.013
231.50,5.000
232.00,3.516
232.50,4.312
233.00,5.000
233.50,3.494
234.00,3.228
234.50,3.590
235.00,3.679
235.50,3.679
236.00,5.000
236.50,3.414
237.00,3.590
237.50,5.000
238.00,3.380
238.50,5.000
239.00,5.000
239.50,3.793
240.00,3.452
240.50,5.000
241.00,5.000
241.50,4.786
242.00,5.000
242.50,3.617
243.00,3.617
243.50,3.414
244.00,3.793
244.50,3.516
245.00,5.000
245.50,3.397
246.00,3.473
246.50,3.153
247.00,3.564
247.50,5.000
248.00,5.000
248.50,3.679
249.00,3.751
249.50,3.397
250.00,3.617
250.50,5.000
251.00,5.000
251.50,4.312
252.00,3.304
252.50,3.946
253.00,3.397
253.50,3.277
254.00,3.414
254.50,3.115
255.00,5.000
255.50,3.304
256.00,3.080
256.50,2.929
257.00,2.624
257.50,2.599
258.00,2.709
258.50,2.510
259.00,2.491
259.50,2.474
260.00,2.670
260.50,2.478
261.00,2.431
261.50,2.236
262.00,2.329
262.50,2.132
263.00,2.240
263.50,2.101
264.00,2.078
264.50,2.062
265.00,2.112
265.50,2.014
266.00,1.965
266.50,2.001
267.00,1.866
267.50,1.879
268.00,1.851
268.50,1.807
269.00,1.737
269.50,1.665
270.00,1.695
270.50,1.716
271.00,1.734
271.50,1.617
272.00,1.641
272.50,1.573
273.00,1.613
273.50,1.522
274.00,1.504
274.50,1.510
275.00,1.480
275.50,1.437
276.00,1.393
276.50,1.394
277.00,1.362
277.50,1.335
278.00,1.311
278.50,1.300
279.00,1.277
279.50,1.253
280.00,1.253
280.50,1.200
281.00,1.190
281.50,1.184
282.00,1.158
282.50,1.147
283.00,1.144
283.50,1.137
284.00,1.129
284.50,1.093
285.00,1.058
285.50,1.056
286.00,1.055
286.50,1.051
287.00,1.018
287.50,1.014
288.00,0.983
288.50,0.993
289.00,0.988
289.50,0.962
290.00,0.961
290.50,0.962
291.00,0.920
291.50,0.950
292.00,0.939
292.50,0.934
293.00,0.927
293.50,0.917
294.00,0.930
294.50,0.903
295.00,0.908
295.50,0.884
296.00,0.884
296.50,0.895
297.00,0.892
297.50,0.877
298.00,0.881
298.50,0.882
299.00,0.879
299.50,0.881
300.00,0.885
300.50,0.876
301.00,0.892
301.50,0.870
302.00,0.897
302.50,0.885
303.00,0.895
303.50,0.890
304.00,0.888
304.50,0.893
305.00,0.885
305.50,0.865
306.00,0.870
306.50,0.905
307.00,0.891
307.50,0.862
308.00,0.895
308.50,0.874
309.00,0.896
309.50,0.898
310.00,0.906
310.50,0.899
311.00,0.927
311.50,0.928
312.00,0.920
312.50,0.931
313.00,0.931
313.50,0.926
314.00,0.946
314.50,0.967
315.00,0.933
315.50,0.944
316.00,0.944
316.50,0.946
317.00,0.951
317.50,0.978
318.00,0.938
318.50,0.985
319.00,0.987
319.50,0.976
320.00,0.969
320.50,0.970
321.00,1.002
321.50,0.982
322.00,1.045
322.50,0.995
323.00,1.064
323.50,1.016
324.00,1.020
324.50,1.065
325.00,1.079
325.50,1.099
326.00,1.100
326.50,1.094
327.00,1.126
327.50,1.126
328.00,1.117
328.50,1.121
329.00,1.162
329.50,1.132
330.00,1.149
330.50,1.144
331.00,1.159
331.50,1.204
332.00,1.166
332.50,1.206
333.00,1.243
333.50,1.230
334.00,1.248
334.50,1.239
335.00,1.309
335.50,1.315
336.00,1.299
336.50,1.296
337.00,1.283
337.50,1.311
338.00,1.361
338.50,1.357
339.00,1.401
339.50,1.409
340.00,1.400
340.50,1.440
341.00,1.479
341.50,1.433
342.00,1.477
342.50,1.460
343.00,1.503
343.50,1.536
344.00,1.544
344.50,1.552
345.00,1.560
345.50,1.615
346.00,1.599
346.50,1.641
347.00,1.646
347.50,1.594
348.00,1.667
348.50,1.733
349.00,1.681
349.50,1.701
350.00,1.745
350.50,1.703
351.00,1.706
351.50,1.789
352.00,1.791
352.50,1.818
353.00,1.786
353.50,1.827
354.00,1.851
354.50,1.843
355.00,1.899
355.50,1.910
356.00,1.905
356.50,1.922
357.00,1.899
357.50,1.962
358.00,2.013
358.50,1.927
359.00,1.977
359.50,2.029
360.00,2.025
360.50,2.047
361.00,2.118
361.50,2.070
362.00,2.026
362.50,2.022
363.00,2.132
363.50,2.170
364.00,2.112
364.50,2.184
365.00,2.155
365.50,2.114
366.00,2.137
366.50,2.190
367.00,2.315
367.50,2.277
368.00,2.314
368.50,2.435
369.00,2.279
369.50,2.353
370.00,2.417
370.50,2.363
371.00,2.439
371.50,2.338
372.00,2.499
372.50,2.588
373.00,2.468
373.50,2.580
374.00,2.769
374.50,2.663
375.00,2.679
375.50,2.613
376.00,2.761
376.50,2.616
377.00,2.757
377.50,3.240
378.00,2.972
378.50,2.798
379.00,2.835
379.50,2.849
380.00,2.773
380.50,2.972
381.00,2.839
381.50,3.153
382.00,3.026
382.50,2.895
383.00,3.184
383.50,3.195
384.00,2.929
384.50,3.217
385.00,3.195
385.50,3.041
386.00,3.134
386.50,3.363
387.00,3.173
387.50,5.000
388.00,3.793
388.50,3.793
389.00,3.265
389.50,3.240
390.00,3.332
390.50,4.013
391.00,3.590
391.50,3.452
392.00,3.332
392.50,3.590
393.00,5.000
393.50,5.000
394.00,3.713
394.50,4.188
395.00,3.793
395.50,5.000
396.00,3.647
396.50,3.647
397.00,3.380
397.50,5.000
398.00,4.013
398.50,5.000
399.00,4.013
399.50,3.494
400.00,5.000
400.50,4.013
401.00,4.487
401.50,5.000
402.00,4.487
402.50,4.487
403.00,4.188
403.50,4.188
404.00,5.000
404.50,3.713
405.00,5.000
405.50,3.889
406.00,3.647
406.50,5.000
407.00,4.188
407.50,4.188
408.00,4.188
408.50,5.000
409.00,3.793
409.50,5.000
410.00,3.889
410.50,5.000
411.00,3.889
411.50,3.793
412.00,3.889
412.50,4.487
413.00,3.713
413.50,3.590
414.00,4.013
414.50,4.013
415.00,5.000
415.50,4.487
416.00,4.487
416.50,5.000
417.00,5.000
417.50,5.000
418.00,5.000
418.50,5.000
419.00,5.000
419.50,3.889
420.00,5.000
420.50,5.000
421.00,5.000
421.50,4.487
422.00,4.487
422.50,5.000
423.00,5.000
423.50,5.000
424.00,4.487
424.50,5.000
425.00,5.000
425.50,5.000
426.00,3.889
426.50,4.188
427.00,4.188
427.50,5.000
428.00,4.013
428.50,5.000
429.00,4.487
429.50,5.000
430.00,4.188
430.50,3.889
431.00,4.188
431.50,5.000
432.00,4.487
432.50,4.188
433.00,4.487
433.50,3.889
434.00,4.487
434.50,4.188
435.00,4.487
435.50,5.000
436.00,4.013
436.50,4.188
437.00,4.188
437.50,4.013
438.00,4.013
438.50,4.188
439.00,4.188
439.50,4.188
440.00,5.000
440.50,5.000
441.00,4.188
441.50,4.188
442.00,4.188
442.50,4.013
443.00,4.188
443.50,4.487
444.00,4.487
444.50,3.889
445.00,4.013
445.50,3.647
446.00,4.188
446.50,5.000
447.00,5.000
447.50,3.647
448.00,4.013
448.50,5.000
449.00,4.487
449.50,3.793
450.00,4.013
450.50,3.793
451.00,3.647
451.50,3.889
452.00,3.889
452.50,3.590
453.00,3.539
453.50,3.713
454.00,3.539
454.50,3.793
455.00,3.889
455.50,3.590
456.00,3.380
456.50,3.252
457.00,3.452
457.50,3.163
458.00,3.064
458.50,3.080
459.00,3.033
459.50,3.033
460.00,2.991
460.50,2.864
461.00,2.727
461.50,2.769
462.00,2.663
462.50,2.552
463.00,2.484
463.50,2.426
464.00,2.327
464.50,2.253
465.00,2.200
465.50,2.150
466.00,2.099
466.50,2.043
467.00,1.976
467.50,1.941
468.00,1.887
468.50,1.807
469.00,1.740
469.50,1.676
470.00,1.618
470.50,1.575
471.00,1.514
471.50,1.471
472.00,1.411
472.50,1.361
473.00,1.317
473.50,1.263
474.00,1.221
474.50,1.172
475.00,1.125
475.50,1.072
476.00,1.019
476.50,0.987
477.00,0.944
477.50,0.910
478.00,0.865
478.50,0.827
479.00,0.802
479.50,0.761
480.00,0.722
480.50,0.690
481.00,0.658
481.50,0.634
482.00,0.604
