"Storage 214215 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_214215.spc"
"Wavelength nm.","Abs."
190.00,5.000
190.50,0.141
191.00,0.980
191.50,-0.348
192.00,5.000
192.50,0.506
193.00,5.000
193.50,5.000
194.00,0.582
194.50,-0.292
195.00,1.130
195.50,2.008
196.00,-0.046
196.50,0.100
197.00,0.455
197.50,5.000
198.00,1.665
198.50,1.179
199.00,0.891
199.50,0.820
200.00,1.067
200.50,0.630
201.00,1.038
201.50,0.841
202.00,5.000
202.50,1.134
203.00,5.000
203.50,1.602
204.00,1.789
204.50,1.754
205.00,5.000
205.50,1.702
206.00,1.827
206.50,5.000
207.00,5.000
207.50,2.017
208.00,2.670
208.50,2.053
209.00,2.552
209.50,5.000
210.00,5.000
210.50,5.000
211.00,3.097
211.50,5.000
212.00,5.000
212.50,5.000
213.00,3.516
213.50,2.812
214.00,2.874
214.50,5.000
215.00,5.000
215.50,5.000
216.00,2.816
216.50,4.092
217.00,2.686
217.50,5.000
218.00,3.539
218.50,3.347
219.00,5.000
219.50,5.000
220.00,5.000
220.50,3.184
221.00,5.000
221.50,3.019
222.00,5.000
222.50,3.452
223.00,2.941
223.50,2.790
224.00,2.912
224.50,5.000
225.00,5.000
225.50,5.000
226.00,3.889
226.50,3.048
227.00,5.000
227.50,5.000
228.00,5.000
228.50,5.000
229.00,3.590
229.50,4.312
230.00,5.000
230.50,5.000
231.00,5.000
231.50,3.647
232.00,5.000
232.50,4.786
233.00,3.713
233.50,3.363
234.00,3.539
234.50,5.000
235.00,5.000
235.50,5.000
236.00,5.000
236.50,3.889
237.00,4.786
237.50,5.000
238.00,3.414
238.50,5.000
239.00,5.000
239.50,5.000
240.00,5.000
240.50,3.713
241.00,5.000
241.50,3.647
242.00,3.946
242.50,4.312
243.00,5.000
243.50,5.000
244.00,5.000
244.50,4.312
245.00,5.000
245.50,5.000
246.00,4.786
246.50,4.312
247.00,3.363
247.50,4.786
248.00,5.000
248.50,4.092
249.00,5.000
249.50,5.000
250.00,5.000
250.50,5.000
251.00,4.786
251.50,2.835
252.00,3.946
252.50,3.751
253.00,4.786
253.50,4.092
254.00,5.000
254.50,4.092
255.00,3.751
255.50,4.786
256.00,3.838
256.50,4.092
257.00,3.946
257.50,5.000
258.00,5.000
258.50,3.751
259.00,5.000
259.50,5.000
260.00,3.433
260.50,5.000
261.00,3.332
261.50,5.000
262.00,5.000
262.50,5.000
263.00,3.838
263.50,5.000
264.00,3.452
264.50,5.000
265.00,4.092
265.50,3.751
266.00,3.564
266.50,3.397
267.00,5.000
267.50,5.000
268.00,4.092
268.50,5.000
269.00,5.000
269.50,3.516
270.00,3.751
270.50,5.000
271.00,5.000
271.50,4.092
272.00,5.000
272.50,5.000
273.00,5.000
273.50,5.000
274.00,4.786
274.50,4.312
275.00,5.000
275.50,5.000
276.00,4.312
276.50,5.000
277.00,5.000
277.50,5.000
278.00,5.000
278.50,5.000
279.00,5.000
279.50,4.312
280.00,5.000
280.50,5.000
281.00,4.786
281.50,4.092
282.00,3.617
282.50,5.000
283.00,3.617
283.50,3.679
284.00,5.000
284.50,3.363
285.00,5.000
285.50,5.000
286.00,5.000
286.50,3.793
287.00,4.013
287.50,3.397
288.00,5.000
288.50,5.000
289.00,3.713
289.50,5.000
290.00,4.188
290.50,4.188
291.00,5.000
291.50,5.000
292.00,4.188
292.50,5.000
293.00,4.786
293.50,5.000
294.00,5.000
294.50,5.000
295.00,3.946
295.50,3.889
296.00,5.000
296.50,4.188
297.00,3.793
297.50,3.265
298.00,3.380
298.50,4.786
299.00,3.751
299.50,5.000
300.00,3.617
300.50,5.000
301.00,5.000
301.50,3.153
302.00,5.000
302.50,5.000
303.00,3.516
303.50,5.000
304.00,5.000
304.50,3.380
305.00,5.000
305.50,5.000
306.00,5.000
306.50,3.564
307.00,3.564
307.50,3.494
308.00,5.000
308.50,5.000
309.00,5.000
309.50,5.000
310.00,5.000
310.50,5.000
311.00,3.195
311.50,3.332
312.00,4.786
312.50,3.452
313.00,5.000
313.50,3.838
314.00,3.217
314.50,5.000
315.00,3.433
315.50,5.000
316.00,5.000
316.50,4.487
317.00,4.013
317.50,3.347
318.00,3.206
318.50,3.889
319.00,5.000
319.50,3.363
320.00,4.188
320.50,3.713
321.00,3.590
321.50,3.516
322.00,3.163
322.50,2.991
323.00,3.265
323.50,5.000
324.00,3.080
324.50,2.702
325.00,5.000
325.50,3.277
326.00,3.277
326.50,3.304
327.00,3.056
327.50,2.966
328.00,3.048
328.50,5.000
329.00,3.041
329.50,3.173
330.00,5.000
330.50,4.487
331.00,3.838
331.50,5.000
332.00,3.143
332.50,2.723
333.00,2.798
333.50,3.089
334.00,5.000
334.50,3.473
335.00,3.539
335.50,4.013
336.00,5.000
336.50,5.000
337.00,3.363
337.50,3.228
338.00,3.217
338.50,2.906
339.00,3.290
339.50,5.000
340.00,3.026
340.50,3.048
341.00,2.906
341.50,2.906
342.00,3.072
342.50,5.000
343.00,3.363
343.50,3.397
344.00,4.188
344.50,2.696
345.00,3.332
345.50,2.972
346.00,5.000
346.50,4.188
347.00,5.000
347.50,3.397
348.00,3.433
348.50,3.153
349.00,5.000
349.50,5.000
350.00,3.473
350.50,3.048
351.00,3.433
351.50,3.217
352.00,3.318
352.50,5.000
353.00,4.013
353.50,3.397
354.00,3.516
354.50,3.173
355.00,3.153
355.50,3.026
356.00,3.143
356.50,5.000
357.00,3.089
357.50,2.803
358.00,3.793
358.50,5.000
359.00,3.277
359.50,3.048
360.00,3.473
360.50,3.134
361.00,2.821
361.50,2.825
362.00,3.452
362.50,3.713
363.00,3.793
363.50,3.206
364.00,3.033
364.50,3.115
365.00,3.080
365.50,5.000
366.00,3.048
366.50,3.433
367.00,5.000
367.50,2.901
368.00,3.080
368.50,3.473
369.00,3.153
369.50,3.240
370.00,3.048
370.50,2.929
371.00,3.072
371.50,3.064
372.00,3.005
372.50,2.978
373.00,2.978
373.50,3.048
374.00,2.885
374.50,3.019
375.00,2.879
375.50,2.906
376.00,2.679
376.50,2.633
377.00,2.663
377.50,2.696
378.00,2.769
378.50,2.679
379.00,2.538
379.50,2.663
380.00,2.605
380.50,2.521
381.00,2.433
381.50,2.380
382.00,2.462
382.50,2.510
383.00,2.452
383.50,2.437
384.00,2.430
384.50,2.375
385.00,2.395
385.50,2.353
386.00,2.283
386.50,2.234
387.00,2.239
387.50,2.206
388.00,2.211
388.50,2.228
389.00,2.211
389.50,2.211
390.00,2.175
390.50,2.158
391.00,2.092
391.50,2.106
392.00,2.080
392.50,2.116
393.00,2.116
393.50,2.103
394.00,2.091
394.50,2.082
395.00,2.052
395.50,2.033
396.00,2.016
396.50,1.997
397.00,2.035
397.50,2.021
398.00,1.970
398.50,1.958
399.00,1.940
399.50,1.940
400.00,1.947
400.50,1.884
401.00,1.914
401.50,1.873
402.00,1.877
402.50,1.842
403.00,1.878
403.50,1.848
404.00,1.835
404.50,1.808
405.00,1.807
405.50,1.820
406.00,1.808
406.50,1.765
407.00,1.764
407.50,1.756
408.00,1.799
408.50,1.800
409.00,1.781
409.50,1.773
410.00,1.750
410.50,1.741
411.00,1.747
411.50,1.762
412.00,1.731
412.50,1.682
413.00,1.679
413.50,1.662
414.00,1.650
414.50,1.652
415.00,1.623
415.50,1.586
416.00,1.563
416.50,1.569
417.00,1.533
417.50,1.528
418.00,1.485
418.50,1.450
419.00,1.408
419.50,1.406
420.00,1.378
420.50,1.341
421.00,1.314
421.50,1.273
422.00,1.246
422.50,1.228
423.00,1.183
423.50,1.150
424.00,1.127
424.50,1.094
425.00,1.067
425.50,1.051
426.00,1.018
426.50,1.009
427.00,0.983
427.50,0.955
428.00,0.942
428.50,0.920
429.00,0.907
429.50,0.896
430.00,0.886
430.50,0.875
431.00,0.863
431.50,0.855
432.00,0.843
432.50,0.842
433.00,0.836
433.50,0.831
434.00,0.826
434.50,0.824
435.00,0.809
435.50,0.805
436.00,0.806
436.50,0.808
437.00,0.791
437.50,0.790
438.00,0.781
438.50,0.766
439.00,0.761
439.50,0.757
440.00,0.752
440.50,0.739
441.00,0.725
441.50,0.712
442.00,0.702
442.50,0.692
443.00,0.684
443.50,0.677
444.00,0.668
444.50,0.655
445.00,0.647
445.50,0.636
446.00,0.635
446.50,0.623
447.00,0.607
447.50,0.599
448.00,0.599
448.50,0.576
449.00,0.571
449.50,0.557
450.00,0.553
450.50,0.548
451.00,0.533
451.50,0.529
452.00,0.521
452.50,0.509
453.00,0.500
453.50,0.497
454.00,0.482
454.50,0.478
455.00,0.467
455.50,0.463
456.00,0.456
456.50,0.451
457.00,0.442
457.50,0.433
458.00,0.427
458.50,0.424
459.00,0.413
459.50,0.409
460.00,0.412
460.50,0.402
461.00,0.402
461.50,0.395
462.00,0.390
462.50,0.390
463.00,0.388
463.50,0.385
464.00,0.386
464.50,0.386
465.00,0.387
465.50,0.380
466.00,0.384
