"Storage 205544 - RawData - C:\Documents and Settings\uvvis\Desktop\n\pink.spc"
"Wavelength nm.","Abs."
200.00,2.709
200.50,5.000
201.00,2.390
201.50,2.491
202.00,2.798
202.50,2.803
203.00,5.000
203.50,5.000
204.00,3.647
204.50,2.972
205.00,3.889
205.50,2.515
206.00,5.000
206.50,3.494
207.00,3.946
207.50,3.064
208.00,2.854
208.50,5.000
209.00,5.000
209.50,5.000
210.00,5.000
210.50,5.000
211.00,5.000
211.50,3.290
212.00,3.195
212.50,4.188
213.00,3.143
213.50,5.000
214.00,2.929
214.50,3.889
215.00,3.679
215.50,2.991
216.00,5.000
216.50,5.000
217.00,5.000
217.50,2.985
218.00,3.080
218.50,4.312
219.00,3.751
219.50,2.730
220.00,2.734
220.50,2.488
221.00,2.531
221.50,2.491
222.00,2.426
222.50,2.250
223.00,2.102
223.50,2.107
224.00,2.113
224.50,2.030
225.00,1.981
225.50,1.928
226.00,1.883
226.50,1.835
227.00,1.731
227.50,1.789
228.00,1.728
228.50,1.653
229.00,1.668
229.50,1.659
230.00,1.634
230.50,1.598
231.00,1.523
231.50,1.498
232.00,1.508
232.50,1.500
233.00,1.498
233.50,1.463
234.00,1.430
234.50,1.412
235.00,1.401
235.50,1.368
236.00,1.376
236.50,1.351
237.00,1.370
237.50,1.313
238.00,1.298
238.50,1.279
239.00,1.260
239.50,1.253
240.00,1.237
240.50,1.235
241.00,1.253
241.50,1.241
242.00,1.196
242.50,1.225
243.00,1.185
243.50,1.186
244.00,1.171
244.50,1.148
245.00,1.128
245.50,1.129
246.00,1.128
246.50,1.126
247.00,1.113
247.50,1.116
248.00,1.106
248.50,1.078
249.00,1.082
249.50,1.088
250.00,1.096
250.50,1.075
251.00,1.085
251.50,1.057
252.00,1.046
252.50,1.041
253.00,1.036
253.50,1.026
254.00,0.992
254.50,1.017
255.00,0.999
255.50,0.993
256.00,0.993
256.50,0.991
257.00,0.971
257.50,0.983
258.00,0.953
258.50,0.931
259.00,0.933
259.50,0.913
260.00,0.929
260.50,0.926
261.00,0.901
261.50,0.893
262.00,0.883
262.50,0.876
263.00,0.886
263.50,0.864
264.00,0.865
264.50,0.880
265.00,0.875
265.50,0.830
266.00,0.831
266.50,0.842
267.00,0.818
267.50,0.830
268.00,0.807
268.50,0.823
269.00,0.791
269.50,0.768
270.00,0.775
270.50,0.742
271.00,0.745
271.50,0.748
272.00,0.740
272.50,0.721
273.00,0.707
273.50,0.724
274.00,0.709
274.50,0.705
275.00,0.712
275.50,0.701
276.00,0.700
276.50,0.684
277.00,0.678
277.50,0.675
278.00,0.655
278.50,0.658
279.00,0.652
279.50,0.661
280.00,0.676
280.50,0.667
281.00,0.658
281.50,0.640
282.00,0.637
282.50,0.642
283.00,0.623
283.50,0.621
284.00,0.624
284.50,0.620
285.00,0.606
285.50,0.595
286.00,0.591
286.50,0.604
287.00,0.581
287.50,0.589
288.00,0.581
288.50,0.571
289.00,0.576
289.50,0.565
290.00,0.570
290.50,0.587
291.00,0.564
291.50,0.568
292.00,0.555
292.50,0.552
293.00,0.547
293.50,0.540
294.00,0.543
294.50,0.548
295.00,0.541
295.50,0.540
296.00,0.531
296.50,0.528
297.00,0.513
297.50,0.506
298.00,0.497
298.50,0.507
299.00,0.501
299.50,0.499
300.00,0.476
300.50,0.502
301.00,0.511
301.50,0.474
302.00,0.489
302.50,0.494
303.00,0.481
303.50,0.495
304.00,0.463
304.50,0.469
305.00,0.463
305.50,0.461
306.00,0.476
306.50,0.452
307.00,0.449
307.50,0.442
308.00,0.440
308.50,0.439
309.00,0.448
309.50,0.456
310.00,0.434
310.50,0.442
311.00,0.430
311.50,0.412
312.00,0.416
312.50,0.414
313.00,0.447
313.50,0.421
314.00,0.429
314.50,0.426
315.00,0.410
315.50,0.409
316.00,0.388
316.50,0.403
317.00,0.385
317.50,0.395
318.00,0.390
318.50,0.374
319.00,0.387
319.50,0.376
320.00,0.367
320.50,0.387
321.00,0.362
321.50,0.367
322.00,0.357
322.50,0.376
323.00,0.371
323.50,0.371
324.00,0.351
324.50,0.350
325.00,0.330
325.50,0.327
326.00,0.331
326.50,0.338
327.00,0.347
327.50,0.336
328.00,0.334
328.50,0.326
329.00,0.332
329.50,0.342
330.00,0.327
330.50,0.315
331.00,0.319
331.50,0.325
332.00,0.318
332.50,0.324
333.00,0.329
333.50,0.320
334.00,0.323
334.50,0.325
335.00,0.304
335.50,0.303
336.00,0.282
336.50,0.302
337.00,0.308
337.50,0.295
338.00,0.309
338.50,0.314
339.00,0.289
339.50,0.288
340.00,0.287
340.50,0.285
341.00,0.291
341.50,0.281
342.00,0.286
342.50,0.284
343.00,0.295
343.50,0.281
344.00,0.274
344.50,0.279
345.00,0.296
345.50,0.281
346.00,0.302
346.50,0.301
347.00,0.287
347.50,0.296
348.00,0.284
348.50,0.279
349.00,0.282
