"203402 - RawData-002 - C:\Documents and Settings\uvvis\My Documents\Chem 423\Spring26\I2_Vapor_EVW_201546.spc"
"Wavelength nm.","Abs."
614.90,0.00087
614.95,-0.00040
615.00,0.00104
615.05,0.00067
615.10,0.00055
615.15,0.00110
615.20,0.00011
615.25,0.00189
615.30,0.00073
615.35,0.00172
615.40,0.00175
615.45,0.00130
615.50,0.00105
615.55,0.00273
615.60,0.00121
615.65,-0.00084
615.70,0.00041
615.75,0.00117
615.80,0.00046
615.85,0.00034
615.90,0.00003
615.95,0.00082
616.00,0.00020
616.05,0.00040
616.10,0.00060
616.15,0.00130
616.20,-0.00264
616.25,-0.00078
616.30,0.00182
616.35,-0.00026
616.40,0.00096
616.45,0.00009
616.50,-0.00119
616.55,0.00000
616.60,0.00066
616.65,-0.00148
616.70,-0.00237
616.75,-0.00113
616.80,-0.00026
616.85,0.00079
616.90,-0.00021
616.95,-0.00079
617.00,0.00024
617.05,-0.00052
617.10,0.00032
617.15,-0.00148
617.20,0.00029
617.25,-0.00148
617.30,0.00003
617.35,-0.00085
617.40,-0.00148
617.45,-0.00130
617.50,-0.00392
617.55,-0.00113
617.60,-0.00204
617.65,-0.00111
617.70,0.00023
617.75,0.00128
617.80,0.00070
617.85,-0.00157
617.90,0.00014
617.95,0.00006
618.00,0.00087
618.05,0.00082
618.10,0.00121
618.15,-0.00058
618.20,0.00182
618.25,-0.00089
618.30,0.00104
618.35,0.00119
618.40,0.00194
618.45,0.00244
618.50,0.00172
618.55,0.00156
618.60,0.00230
618.65,0.00252
618.70,0.00128
618.75,0.00247
618.80,0.00291
618.85,0.00082
618.90,0.00232
618.95,0.00104
619.00,0.00359
619.05,0.00298
619.10,0.00301
619.15,0.00281
619.20,0.00372
619.25,0.00389
619.30,0.00232
619.35,0.00436
619.40,0.00349
619.45,0.00320
619.50,0.00404
619.55,0.00369
619.60,0.00504
619.65,0.00345
619.70,0.00449
619.75,0.00467
619.80,0.00186
619.85,0.00211
619.90,0.00453
619.95,0.00316
620.00,0.00406
620.05,0.00511
620.10,0.00346
620.15,0.00360
620.20,0.00359
620.25,0.00519
620.30,0.00255
620.35,0.00523
620.40,0.00528
620.45,0.00502
620.50,0.00346
620.55,0.00214
620.60,0.00233
620.65,0.00420
620.70,0.00400
620.75,0.00467
620.80,0.00568
620.85,0.00455
620.90,0.00520
620.95,0.00381
621.00,0.00494
621.05,0.00308
621.10,0.00555
621.15,0.00334
621.20,0.00174
621.25,0.00462
621.30,0.00204
621.35,0.00407
621.40,0.00270
621.45,0.00284
621.50,0.00398
621.55,0.00128
621.60,0.00310
621.65,0.00185
621.70,0.00278
621.75,0.00075
621.80,0.00185
621.85,0.00142
621.90,0.00401
621.95,0.00160
622.00,0.00314
622.05,0.00391
622.10,0.00282
622.15,0.00108
622.20,0.00180
622.25,-0.00005
622.30,0.00247
622.35,-0.00044
622.40,0.00131
622.45,0.00058
622.50,0.00180
622.55,-0.00031
622.60,0.00319
622.65,0.00311
622.70,0.00287
622.75,0.00281
622.80,0.00052
622.85,0.00099
622.90,0.00047
622.95,0.00269
623.00,0.00114
623.05,0.00040
623.10,0.00209
623.15,0.00099
623.20,0.00154
623.25,0.00079
623.30,0.00211
623.35,0.00108
623.40,0.00128
623.45,0.00340
623.50,0.00128
623.55,0.00284
623.60,0.00085
623.65,0.00296
623.70,0.00087
623.75,0.00131
623.80,0.00102
623.85,0.00157
623.90,0.00227
623.95,0.00055
624.00,0.00247
624.05,0.00183
624.10,0.00130
624.15,-0.00049
624.20,0.00171
624.25,0.00256
624.30,0.00146
624.35,0.00108
624.40,0.00110
624.45,0.00145
624.50,0.00131
624.55,0.00069
624.60,0.00330
624.65,0.00220
624.70,0.00230
624.75,0.00166
624.80,0.00139
624.85,0.00104
624.90,0.00122
624.95,0.00180
625.00,0.00114
625.05,0.00160
625.10,0.00311
625.15,0.00261
625.20,0.00230
625.25,0.00121
625.30,0.00102
625.35,0.00037
625.40,0.00189
625.45,0.00400
625.50,0.00133
625.55,-0.00023
625.60,0.00195
625.65,0.00270
625.70,0.00246
625.75,0.00287
625.80,0.00223
625.85,0.00287
625.90,0.00032
625.95,0.00150
626.00,0.00101
626.05,0.00220
626.10,0.00145
626.15,0.00249
626.20,-0.00006
626.25,0.00270
626.30,0.00085
626.35,0.00368
626.40,0.00139
626.45,0.00124
626.50,0.00145
626.55,0.00108
626.60,0.00140
626.65,0.00185
626.70,0.00111
626.75,0.00000
626.80,0.00203
626.85,0.00139
626.90,-0.00053
626.95,0.00208
627.00,0.00163
627.05,0.00095
627.10,-0.00060
627.15,0.00262
627.20,0.00172
627.25,0.00198
627.30,0.00046
627.35,0.00023
627.40,0.00055
627.45,0.00229
627.50,0.00032
627.55,0.00186
627.60,0.00200
627.65,0.00273
627.70,0.00029
627.75,0.00270
627.80,0.00211
627.85,0.00302
627.90,0.00389
627.95,0.00453
628.00,0.00272
628.05,0.00284
628.10,0.00580
628.15,0.00275
628.20,0.00279
628.25,0.00279
628.30,0.00488
628.35,0.00540
628.40,0.00539
628.45,0.00475
628.50,0.00467
628.55,0.00700
628.60,0.00613
628.65,0.00586
628.70,0.00537
628.75,0.00533
628.80,0.00479
628.85,0.00441
628.90,0.00870
628.95,0.00531
629.00,0.00658
629.05,0.00439
629.10,0.00618
629.15,0.00497
629.20,0.00615
629.25,0.00735
629.30,0.00731
629.35,0.00740
629.40,0.00453
629.45,0.00505
629.50,0.00632
629.55,0.00282
629.60,0.00548
629.65,0.00557
629.70,0.00337
629.75,0.00520
629.80,0.00540
629.85,0.00528
629.90,0.00333
629.95,0.00314
630.00,0.00449
630.05,0.00562
630.10,0.00334
630.15,0.00131
630.20,0.00365
630.25,0.00349
630.30,0.00395
630.35,0.00356
630.40,0.00516
630.45,0.00406
630.50,0.00246
630.55,0.00244
630.60,0.00185
630.65,0.00163
630.70,0.00415
630.75,0.00293
630.80,0.00441
630.85,0.00146
630.90,0.00200
630.95,0.00389
631.00,0.00490
631.05,0.00146
631.10,0.00119
631.15,0.00395
631.20,0.00264
631.25,0.00211
631.30,0.00194
631.35,0.00336
631.40,0.00659
631.45,0.00311
631.50,0.00171
631.55,0.00342
631.60,0.00349
631.65,0.00192
631.70,0.00266
631.75,0.00410
631.80,0.00293
631.85,0.00058
631.90,0.00061
631.95,0.00252
632.00,0.00157
632.05,0.00269
632.10,0.00223
632.15,0.00128
632.20,0.00122
632.25,0.00079
632.30,0.00259
632.35,0.00127
632.40,0.00282
632.45,0.00291
632.50,0.00336
632.55,0.00171
632.60,-0.00061
632.65,0.00264
632.70,0.00124
632.75,0.00136
632.80,0.00076
632.85,-0.00029
632.90,-0.00032
632.95,0.00281
633.00,0.00200
633.05,0.00029
633.10,0.00108
633.15,-0.00078
633.20,0.00163
633.25,0.00191
633.30,0.00194
633.35,-0.00098
633.40,0.00256
633.45,0.00166
633.50,0.00105
633.55,0.00043
633.60,0.00076
633.65,0.00069
633.70,0.00090
633.75,0.00064
633.80,-0.00185
633.85,0.00034
633.90,0.00223
633.95,0.00305
634.00,0.00093
634.05,0.00020
634.10,0.00037
634.15,-0.00014
634.20,0.00096
634.25,0.00168
634.30,0.00314
634.35,0.00172
634.40,-0.00006
634.45,0.00047
634.50,0.00032
634.55,0.00226
634.60,0.00446
634.65,0.00186
634.70,0.00386
634.75,0.00363
634.80,0.00244
634.85,0.00356
634.90,0.00365
634.95,0.00252
635.00,0.00259
635.05,0.00279
635.10,0.00386
635.15,0.00204
635.20,0.00485
635.25,0.00208
635.30,0.00238
635.35,0.00549
635.40,0.00308
635.45,0.00388
635.50,0.00230
635.55,0.00330
635.60,0.00374
635.65,0.00209
635.70,0.00235
635.75,-0.00012
635.80,0.00058
635.85,0.00050
635.90,-0.00130
635.95,-0.00029
636.00,-0.00043
636.05,-0.00058
636.10,-0.00052
636.15,-0.00150
636.20,-0.00105
636.25,0.00208
636.30,-0.00237
636.35,-0.00273
636.40,-0.00179
636.45,-0.00166
636.50,-0.00310
636.55,-0.00319
636.60,-0.00331
636.65,-0.00342
636.70,-0.00346
636.75,-0.00462
636.80,-0.00420
636.85,-0.00482
636.90,-0.00334
636.95,-0.00262
637.00,-0.00354
637.05,-0.00505
637.10,-0.00183
637.15,-0.00223
637.20,-0.00204
637.25,-0.00343
637.30,-0.00343
637.35,-0.00383
637.40,-0.00352
637.45,-0.00160
637.50,-0.00119
637.55,-0.00116
637.60,-0.00372
637.65,-0.00188
637.70,-0.00214
637.75,-0.00195
637.80,-0.00348
637.85,-0.00162
637.90,-0.00273
637.95,-0.00397
638.00,-0.00302
638.05,-0.00249
638.10,-0.00153
638.15,-0.00232
638.20,-0.00121
638.25,-0.00264
638.30,-0.00151
638.35,-0.00241
638.40,-0.00191
638.45,-0.00119
638.50,0.00037
638.55,-0.00053
638.60,-0.00240
638.65,-0.00169
638.70,-0.00211
638.75,-0.00194
638.80,-0.00159
638.85,0.00052
638.90,-0.00040
638.95,-0.00166
639.00,-0.00014
639.05,-0.00230
639.10,-0.00258
639.15,0.00066
639.20,0.00049
639.25,0.00085
639.30,-0.00089
639.35,0.00029
639.40,0.00078
639.45,-0.00053
639.50,0.00061
639.55,0.00365
639.60,0.00066
639.65,-0.00107
639.70,-0.00066
639.75,0.00117
639.80,0.00049
639.85,0.00102
639.90,0.00346
639.95,0.00208
640.00,0.00037
640.05,0.00168
640.10,0.00156
640.15,-0.00041
640.20,0.00075
640.25,0.00122
640.30,0.00244
640.35,0.00154
640.40,0.00037
640.45,0.00305
640.50,0.00105
640.55,0.00082
640.60,0.00012
640.65,0.00024
640.70,-0.00034
640.75,-0.00075
640.80,-0.00079
640.85,0.00078
640.90,0.00015
640.95,0.00252
641.00,0.00244
641.05,0.00117
641.10,0.00211
641.15,0.00105
641.20,-0.00034
641.25,0.00075
641.30,0.00119
641.35,-0.00024
641.40,-0.00096
641.45,0.00314
641.50,0.00049
641.55,0.00171
641.60,0.00046
641.65,0.00151
641.70,0.00093
641.75,0.00043
641.80,0.00146
641.85,0.00079
641.90,-0.00089
641.95,-0.00160
642.00,-0.00101
642.05,0.00104
642.10,0.00185
642.15,-0.00175
642.20,0.00195
642.25,0.00121
642.30,0.00015
642.35,0.00014
642.40,-0.00079
642.45,0.00040
642.50,-0.00052
642.55,0.00102
642.60,0.00050
642.65,0.00092
642.70,0.00029
642.75,-0.00211
642.80,0.00192
642.85,0.00226
642.90,-0.00107
642.95,0.00006
643.00,0.00079
643.05,-0.00029
643.10,0.00058
643.15,0.00229
643.20,-0.00098
643.25,-0.00075
643.30,-0.00056
643.35,0.00301
643.40,-0.00017
643.45,-0.00121
643.50,0.00108
643.55,-0.00012
643.60,0.00055
643.65,0.00047
643.70,0.00060
643.75,0.00102
643.80,0.00226
643.85,0.00246
643.90,0.00432
643.95,0.00130
644.00,0.00261
644.05,0.00478
644.10,0.00415
644.15,0.00150
644.20,0.00266
644.25,0.00389
644.30,0.00214
644.35,0.00319
644.40,0.00507
644.45,0.00439
644.50,0.00449
644.55,0.00398
644.60,0.00471
644.65,0.00401
644.70,0.00499
644.75,0.00487
644.80,0.00552
644.85,0.00601
644.90,0.00450
644.95,0.00620
645.00,0.00766
645.05,0.00148
645.10,0.00436
645.15,0.00369
645.20,0.00369
645.25,0.00468
645.30,0.00543
645.35,0.00510
645.40,0.00256
645.45,0.00397
645.50,0.00232
645.55,0.00368
645.60,0.00061
645.65,0.00264
645.70,0.00528
645.75,0.00441
645.80,0.00293
645.85,0.00325
645.90,0.00099
645.95,0.00148
646.00,0.00064
646.05,0.00066
646.10,0.00334
646.15,0.00121
646.20,0.00095
646.25,0.00055
646.30,0.00046
646.35,0.00031
646.40,0.00108
646.45,0.00011
646.50,0.00281
646.55,0.00027
646.60,-0.00014
646.65,-0.00008
646.70,0.00142
646.75,-0.00053
646.80,0.00087
646.85,0.00037
646.90,0.00110
646.95,0.00177
647.00,0.00122
647.05,0.00256
647.10,0.00287
647.15,0.00180
647.20,0.00252
647.25,0.00066
647.30,0.00031
647.35,0.00191
647.40,0.00157
647.45,0.00259
647.50,-0.00066
647.55,0.00203
647.60,0.00302
647.65,0.00227
647.70,0.00163
647.75,0.00261
647.80,0.00075
647.85,0.00078
647.90,0.00056
647.95,0.00177
648.00,0.00131
648.05,0.00212
648.10,0.00034
648.15,0.00119
648.20,0.00093
648.25,0.00281
648.30,0.00096
648.35,0.00124
648.40,0.00340
648.45,0.00186
648.50,0.00229
648.55,0.00139
648.60,0.00113
648.65,0.00301
648.70,0.00128
648.75,0.00279
648.80,0.00159
648.85,0.00117
648.90,0.00064
648.95,-0.00024
649.00,0.00247
649.05,0.00031
649.10,0.00047
649.15,0.00128
649.20,-0.00081
649.25,0.00108
649.30,0.00291
649.35,0.00073
649.40,0.00171
649.45,0.00314
649.50,0.00301
649.55,-0.00053
649.60,0.00122
649.65,0.00266
649.70,0.00087
649.75,-0.00142
649.80,0.00049
649.85,0.00157
649.90,0.00014
649.95,0.00092
650.00,0.00183
