Wavelength,S1
nm,CPS
365,117070
366,121740
367,123930
368,129430
369,133610
370,134110
371,139810
372,140030
373,145440
374,148930
375,147500
376,155390
377,159000
378,160080
379,167730
380,172600
381,178500
382,184410
383,186850
384,201730
385,212300
386,225430
387,243010
388,251760
389,262020
390,267000
391,270550
392,266730
393,261890
394,254790
395,243200
396,236060
397,232230
398,230000
399,226490
400,223500
401,218530
402,221270
403,218290
404,218340
405,219650
406,216800
407,219990
408,214690
409,216750
410,217510
411,215220
412,211100
413,208610
414,209420
415,206440
416,203870
417,204060
418,200450
419,200670
420,197680
421,195460
422,192180
423,188590
424,191170
425,188580
426,181850
427,183280
428,182130
429,179330
430,176950
431,172760
432,174380
433,173210
434,170880
435,170340
436,170110
437,171250
438,174320
439,179030
440,192100
441,207450
442,226000
443,261240
444,309890
445,379140
446,458370
447,558200
448,668130
449,775520
450,857340
451,906220
452,928710
453,928520
454,906200
455,895330
456,868470
457,865420
458,877840
459,902340
460,930050
461,950900
462,934460
463,901100
464,831810
465,762600
466,686120
467,641180
468,640440
469,685370
470,785680
471,894910
472,1028740
473,1141530
474,1248790
475,1416270
476,1673260
477,2145920
478,2680790
479,3342050
480,3810730
481,4107740
482,4101150
483,3786630
484,3388570
485,2954790
486,2616500
487,2449140
488,2388020
489,2365010
490,2244330
491,2080780
492,1886630
493,1677660
494,1531690
495,1432240
496,1455020
497,1567460
498,1795520
499,2111310
500,2451020
501,2743950
502,2910230
503,2943460
504,2856990
505,2734760
506,2603440
507,2555010
508,2543580
509,2576730
510,2627930
511,2687440
512,2700860
513,2738660
514,2687960
515,2623460
516,2458090
517,2285130
518,2105990
519,1947690
520,1809310
521,1711830
522,1580440
523,1478360
524,1337820
525,1202780
526,1084710
527,969510
528,875500
529,808950
530,754860
531,723090
532,714020
533,724060
534,749250
535,785610
536,834290
537,866060
538,890140
539,881800
540,859370
541,812040
542,797820
543,763910
544,746780
545,733810
546,723430
547,711440
548,697000
549,677550
550,657410
551,646930
552,613150
553,598760
554,574850
555,553950
556,523960
557,508560
558,488440
559,482890
560,461040
561,448550
562,431290
563,403790
564,376960
565,344740
566,303540
567,272150
568,236630
569,208370
570,191070
571,175450
572,162540
573,155680
574,147840
575,144200
576,142040
577,142410
578,141480
579,136290
580,137920
581,130480
582,127670
583,123840
584,119100
585,112850
586,111020
587,106820
588,105990
589,101640
590,98970
591,96060
592,91650
593,89840
594,87000
595,82850
596,81930
597,77470
598,75680
599,74920
600,72560
601,73360
602,70120
603,70310
604,68540
605,67230
606,65880
607,65560
608,62340
609,61030
610,56320
611,53580
612,48690
613,44100
614,39370
615,37270
616,32920
617,29630
618,28660
619,25850
620,24300
621,22330
622,22410
623,21120
624,19450
625,18710
626,18510
627,17750
628,17670
629,17960
630,16930
631,15170
632,15390
633,14730
634,14090
635,14160
636,13200
637,12650
638,13010
639,12550
640,12430
641,12210
642,11770
643,11560
644,11420
645,10530
646,10300
647,10800
648,10240
649,9940
650,10370
