Wavelength,S1
nm,CPS
365,426450
366,536800
367,661400
368,800980
369,973100
370,1188840
371,1408740
372,1689670
373,2020230
374,2347830
375,2693700
376,3099210
377,3556680
378,3977590
379,4425120
380,4962570
381,5423120
382,5923370
383,6415350
384,6876230
385,7363210
386,7801740
387,8239900
388,8618650
389,8976820
390,9362470
391,9671920
392,9958960
393,10269790
394,10517380
395,10724180
396,11008090
397,11195660
398,11405250
399,11612790
400,11801700
401,11990320
402,12164500
403,12286770
404,12479040
405,12595410
406,12741420
407,12931260
408,12978320
409,13117650
410,13235310
411,13276610
412,13428530
413,13429050
414,13567600
415,13589000
416,13617950
417,13625540
418,13698010
419,13646070
420,13690890
421,13728630
422,13671560
423,13663700
424,13661820
425,13591390
426,13623090
427,13511490
428,13576960
429,13456280
430,13439890
431,13381200
432,13310490
433,13270560
434,13198630
435,13168170
436,13029080
437,13007470
438,12904370
439,12796470
440,12755980
441,12640650
442,12557620
443,12429930
444,12351250
445,12217120
446,12131760
447,11968580
448,11902550
449,11722230
450,11626510
451,11501260
452,11326060
453,11213350
454,11079130
455,10904130
456,10803960
457,10610850
458,10498970
459,10354490
460,10153490
461,10070860
462,9860220
463,9736110
464,9588450
465,9374690
466,9274960
467,9083590
468,8951590
469,8796050
470,8657360
471,8461470
472,8319220
473,8162510
474,7974920
475,7822960
476,7693340
477,7499470
478,7383250
479,7202270
480,7047120
481,6957290
482,6759000
483,6623140
484,6450200
485,6355370
486,6157620
487,6046710
488,5923400
489,5778350
490,5645930
491,5503270
492,5354590
493,5268580
494,5121570
495,5003640
496,4857340
497,4782660
498,4615840
499,4546090
500,4383600
501,4303230
502,4161480
503,4085710
504,3940560
505,3901560
506,3740950
507,3665280
508,3559040
509,3472370
510,3371580
511,3287590
512,3182290
513,3115310
514,3022880
515,2936940
516,2877570
517,2775710
518,2707170
519,2622990
520,2549800
521,2484220
522,2413960
523,2339780
524,2276420
525,2209320
526,2138150
527,2082090
528,2033940
529,1966360
530,1917940
531,1848810
532,1806680
533,1752410
534,1701830
535,1652130
536,1612080
537,1549640
538,1523170
539,1455160
540,1422550
541,1387500
542,1338410
543,1308850
544,1262310
545,1223440
546,1193230
547,1158890
548,1123290
549,1085830
550,1059130
551,1029510
552,996860
553,965800
554,935270
555,913260
556,885000
557,855560
558,823940
559,810030
560,773630
561,762560
562,730970
563,709190
564,691570
565,673700
566,647830
567,638060
568,618630
569,593550
570,577490
571,562070
572,539810
573,531480
574,516520
575,496980
576,484520
577,468490
578,457580
579,441540
580,433350
581,419800
582,409570
583,388090
584,383410
585,372280
586,362420
587,355270
588,342540
589,334910
590,322780
591,317550
592,308160
593,299100
594,290310
595,285710
596,272680
597,268040
598,260590
599,254560
600,248730
601,239170
602,234800
603,225510
604,221340
605,212330
606,209400
607,203300
608,198810
609,191730
610,185630
611,182700
612,177450
613,175550
614,166700
615,161260
616,157670
617,154640
618,148530
619,147400
620,142460
621,139650
622,134710
623,132060
624,129270
625,123130
626,119470
627,117670
628,114390
629,110810
630,109750
631,104050
632,102300
633,102910
634,95190
635,92510
636,91070
637,89960
638,88880
639,85740
640,84890
641,80770
642,80180
643,78740
644,76090
645,74870
646,75380
647,72930
648,68840
649,70980
650,65580
