"Storage 211028 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_211028.spc"
"Wavelength nm.","Abs."
190.00,0.741
190.50,0.899
191.00,0.802
191.50,0.799
192.00,0.833
192.50,0.935
193.00,1.002
193.50,0.863
194.00,0.805
194.50,0.814
195.00,0.805
195.50,0.741
196.00,0.690
196.50,0.865
197.00,0.774
197.50,0.719
198.00,0.682
198.50,0.662
199.00,0.754
199.50,0.835
200.00,0.829
200.50,0.770
201.00,0.762
201.50,0.762
202.00,0.733
202.50,0.716
203.00,0.694
203.50,0.739
204.00,0.685
204.50,0.681
205.00,0.671
205.50,0.636
206.00,0.600
206.50,0.579
207.00,0.548
207.50,0.538
208.00,0.505
208.50,0.489
209.00,0.474
209.50,0.440
210.00,0.448
210.50,0.397
211.00,0.402
211.50,0.381
212.00,0.385
212.50,0.345
213.00,0.340
213.50,0.316
214.00,0.304
214.50,0.276
215.00,0.286
215.50,0.281
216.00,0.275
216.50,0.267
217.00,0.254
217.50,0.278
218.00,0.265
218.50,0.264
219.00,0.258
219.50,0.265
220.00,0.263
220.50,0.263
221.00,0.287
221.50,0.292
222.00,0.312
222.50,0.302
223.00,0.311
223.50,0.336
224.00,0.325
224.50,0.335
225.00,0.367
225.50,0.371
226.00,0.379
226.50,0.388
227.00,0.397
227.50,0.387
228.00,0.399
228.50,0.414
229.00,0.409
229.50,0.420
230.00,0.413
230.50,0.415
231.00,0.414
231.50,0.404
232.00,0.421
232.50,0.439
233.00,0.423
233.50,0.423
234.00,0.420
234.50,0.425
235.00,0.431
235.50,0.398
236.00,0.414
236.50,0.397
237.00,0.387
237.50,0.384
238.00,0.377
238.50,0.380
239.00,0.363
239.50,0.365
240.00,0.352
240.50,0.333
241.00,0.327
241.50,0.335
242.00,0.314
242.50,0.319
243.00,0.320
243.50,0.307
244.00,0.321
244.50,0.302
245.00,0.303
245.50,0.310
246.00,0.307
246.50,0.292
247.00,0.307
247.50,0.315
248.00,0.312
248.50,0.305
249.00,0.303
249.50,0.308
250.00,0.305
250.50,0.307
251.00,0.307
251.50,0.309
252.00,0.299
252.50,0.307
253.00,0.310
253.50,0.317
254.00,0.310
254.50,0.305
255.00,0.306
255.50,0.311
256.00,0.300
256.50,0.278
257.00,0.285
257.50,0.267
258.00,0.254
258.50,0.220
259.00,0.205
259.50,0.186
260.00,0.192
260.50,0.171
261.00,0.158
261.50,0.149
262.00,0.156
262.50,0.137
263.00,0.123
263.50,0.121
264.00,0.107
264.50,0.104
265.00,0.108
265.50,0.116
266.00,0.116
266.50,0.112
267.00,0.106
267.50,0.096
268.00,0.102
268.50,0.107
269.00,0.098
269.50,0.100
270.00,0.104
270.50,0.110
271.00,0.109
271.50,0.096
272.00,0.100
272.50,0.106
273.00,0.100
273.50,0.111
274.00,0.120
274.50,0.107
275.00,0.112
275.50,0.120
276.00,0.121
276.50,0.132
277.00,0.126
277.50,0.131
278.00,0.120
278.50,0.131
279.00,0.132
279.50,0.146
280.00,0.140
280.50,0.150
281.00,0.151
281.50,0.163
282.00,0.155
282.50,0.153
283.00,0.161
283.50,0.156
284.00,0.152
284.50,0.167
285.00,0.180
285.50,0.185
286.00,0.183
286.50,0.179
287.00,0.186
287.50,0.186
288.00,0.191
288.50,0.197
289.00,0.204
289.50,0.207
290.00,0.206
290.50,0.222
291.00,0.222
291.50,0.218
292.00,0.226
292.50,0.227
293.00,0.229
293.50,0.233
294.00,0.232
294.50,0.245
295.00,0.264
295.50,0.252
296.00,0.254
296.50,0.245
297.00,0.242
297.50,0.240
298.00,0.261
298.50,0.247
299.00,0.231
299.50,0.243
300.00,0.225
