"Storage 214439 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_214439.spc"
"Wavelength nm.","Abs."
190.00,0.445
190.50,5.000
191.00,-0.175
191.50,-0.551
192.00,0.077
192.50,-0.166
193.00,-0.148
193.50,0.747
194.00,5.000
194.50,0.342
195.00,0.665
195.50,5.000
196.00,5.000
196.50,-1.688
197.00,5.000
197.50,5.000
198.00,5.000
198.50,5.000
199.00,1.834
199.50,5.000
200.00,5.000
200.50,5.000
201.00,0.876
201.50,5.000
202.00,5.000
202.50,1.380
203.00,0.807
203.50,5.000
204.00,5.000
204.50,5.000
205.00,2.257
205.50,1.739
206.00,1.856
206.50,1.611
207.00,2.356
207.50,5.000
208.00,2.679
208.50,2.090
209.00,2.104
209.50,2.250
210.00,2.076
210.50,5.000
211.00,5.000
211.50,3.134
212.00,2.242
212.50,5.000
213.00,2.364
213.50,3.433
214.00,2.474
214.50,2.682
215.00,3.290
215.50,2.531
216.00,5.000
216.50,2.879
217.00,5.000
217.50,5.000
218.00,3.539
218.50,2.580
219.00,2.555
219.50,2.478
220.00,2.692
220.50,2.621
221.00,2.308
221.50,2.226
222.00,2.292
222.50,2.088
223.00,2.111
223.50,2.024
224.00,1.935
224.50,1.918
225.00,1.933
225.50,1.906
226.00,1.746
226.50,1.723
227.00,1.576
227.50,1.673
228.00,1.575
228.50,1.573
229.00,1.526
229.50,1.516
230.00,1.405
230.50,1.372
231.00,1.369
231.50,1.276
232.00,1.234
232.50,1.219
233.00,1.172
233.50,1.132
234.00,1.070
234.50,1.045
235.00,1.004
235.50,0.968
236.00,0.909
236.50,0.873
237.00,0.814
237.50,0.822
238.00,0.763
238.50,0.720
239.00,0.716
239.50,0.652
240.00,0.631
240.50,0.626
241.00,0.588
241.50,0.560
242.00,0.534
242.50,0.513
243.00,0.498
243.50,0.467
244.00,0.451
244.50,0.427
245.00,0.408
245.50,0.396
246.00,0.393
246.50,0.398
247.00,0.375
247.50,0.385
248.00,0.366
248.50,0.376
249.00,0.377
249.50,0.368
250.00,0.371
250.50,0.389
251.00,0.392
251.50,0.397
252.00,0.391
252.50,0.389
253.00,0.383
253.50,0.397
254.00,0.404
254.50,0.418
255.00,0.426
255.50,0.437
256.00,0.465
256.50,0.461
257.00,0.473
257.50,0.500
258.00,0.505
258.50,0.515
259.00,0.521
259.50,0.518
260.00,0.531
260.50,0.548
261.00,0.553
261.50,0.593
262.00,0.582
262.50,0.593
263.00,0.607
263.50,0.617
264.00,0.619
264.50,0.628
265.00,0.638
265.50,0.662
266.00,0.653
266.50,0.680
267.00,0.698
267.50,0.689
268.00,0.696
268.50,0.716
269.00,0.698
