Wavelength,S1
nm,CPS
365,12910
366,13910
367,14560
368,15330
369,17800
370,17810
371,20300
372,21730
373,23360
374,25160
375,26630
376,31540
377,37320
378,46240
379,56890
380,69760
381,81830
382,87860
383,89190
384,89690
385,87290
386,79170
387,73500
388,71330
389,73200
390,75590
391,79800
392,87940
393,96610
394,105820
395,113400
396,119940
397,124630
398,130060
399,131300
400,129020
401,130370
402,124220
403,120410
404,118450
405,117580
406,118980
407,120660
408,123060
409,132660
410,139010
411,150310
412,164530
413,176120
414,194500
415,213690
416,232500
417,254910
418,277040
419,300150
420,329520
421,346780
422,372020
423,392020
424,420360
425,438140
426,460950
427,475900
428,495270
429,511190
430,523700
431,536100
432,552630
433,560920
434,569670
435,582020
436,582160
437,588640
438,591860
439,597720
440,604570
441,604610
442,608770
443,607250
444,599670
445,604570
446,599300
447,590010
448,602150
449,593650
450,596090
451,595730
452,587310
453,594550
454,599220
455,596450
456,605680
457,612300
458,630080
459,638090
460,649680
461,682230
462,710420
463,738420
464,779860
465,831950
466,892240
467,956510
468,1052900
469,1133810
470,1228370
471,1347930
472,1499600
473,1627930
474,1816220
475,1988260
476,2177490
477,2388750
478,2605740
479,2884950
480,3124560
481,3389810
482,3659820
483,3989330
484,4276180
485,4573720
486,4922950
487,5222510
488,5540770
489,5865560
490,6157670
491,6495590
492,6814720
493,7067680
494,7403600
495,7639050
496,7952850
497,8128640
498,8417940
499,8619100
500,8783790
501,9065170
502,9156170
503,9338010
504,9503540
505,9577310
506,9725560
507,9749640
508,9808290
509,9885550
510,9895460
511,9878600
512,9920800
513,9865220
514,9858580
515,9831630
516,9684940
517,9714380
518,9560200
519,9474890
520,9408340
521,9244370
522,9114980
523,9048700
524,8808280
525,8727920
526,8609960
527,8389800
528,8230420
529,8115770
530,7895440
531,7781340
532,7636950
533,7401470
534,7297840
535,7132670
536,6946490
537,6791280
538,6687190
539,6470690
540,6308610
541,6154940
542,6030320
543,5831260
544,5715280
545,5527170
546,5407410
547,5252340
548,5086330
549,4948600
550,4793260
551,4662290
552,4495320
553,4404920
554,4192060
555,4096120
556,3951050
557,3789130
558,3677500
559,3554940
560,3418900
561,3284610
562,3166210
563,3041970
564,2930850
565,2830420
566,2698190
567,2605120
568,2512110
569,2399820
570,2299990
571,2209750
572,2125920
573,2027650
574,1956810
575,1867770
576,1779940
577,1720960
578,1648150
579,1568470
580,1508120
581,1444100
582,1383130
583,1319650
584,1275480
585,1208550
586,1169540
587,1110080
588,1068170
589,1024870
590,974050
591,944920
592,896930
593,864590
594,823970
595,783450
596,757440
597,715530
598,696980
599,661530
600,634660
601,607530
602,580590
603,556790
604,530670
605,499960
606,489950
607,458250
608,444700
609,414380
610,402400
611,383930
612,371030
613,345630
614,329910
615,313840
616,304910
617,285350
618,274410
619,261840
620,247580
621,237000
622,229090
623,214510
624,208870
625,195560
626,186520
627,174100
628,170670
629,162060
630,151640
631,146920
632,138730
633,132670
634,126060
635,119590
636,113260
637,109880
638,104970
639,101390
640,94940
641,95300
642,88370
643,85130
644,82380
645,78360
646,74400
647,71650
648,69970
649,67210
650,64180
