"Storage 223053 - RawData - C:\Documents and Settings\uvvis\Desktop\w\File_260415_223053.spc"
"Wavelength nm.","Abs."
200.00,1.035
200.50,0.744
201.00,0.389
201.50,0.481
202.00,-4.000
202.50,0.187
203.00,5.000
203.50,0.132
204.00,5.000
204.50,5.000
205.00,-0.535
205.50,-0.294
206.00,0.261
206.50,5.000
207.00,5.000
207.50,-4.000
208.00,5.000
208.50,5.000
209.00,5.000
209.50,5.000
210.00,5.000
210.50,-0.004
211.00,0.197
211.50,5.000
212.00,-0.507
212.50,5.000
213.00,5.000
213.50,0.421
214.00,5.000
214.50,-0.243
215.00,5.000
215.50,-0.493
216.00,-0.314
216.50,5.000
217.00,5.000
217.50,5.000
218.00,5.000
218.50,5.000
219.00,0.652
219.50,0.020
220.00,0.290
220.50,0.121
221.00,5.000
221.50,0.106
222.00,-0.005
222.50,5.000
223.00,0.394
223.50,-0.207
224.00,-0.824
224.50,-0.076
225.00,0.755
225.50,1.553
226.00,0.693
226.50,5.000
227.00,5.000
227.50,5.000
228.00,5.000
228.50,0.443
229.00,0.041
229.50,-0.560
230.00,2.216
230.50,5.000
231.00,-0.692
231.50,-0.789
232.00,-0.103
232.50,0.855
233.00,1.392
233.50,5.000
234.00,5.000
234.50,5.000
235.00,-0.918
235.50,-0.866
236.00,5.000
236.50,5.000
237.00,-0.090
237.50,5.000
238.00,2.120
238.50,0.804
239.00,0.309
239.50,0.551
240.00,0.097
240.50,5.000
241.00,0.956
241.50,5.000
242.00,0.189
242.50,5.000
243.00,0.977
243.50,0.174
244.00,5.000
244.50,5.000
245.00,5.000
245.50,5.000
246.00,5.000
246.50,0.367
247.00,-1.024
247.50,0.607
248.00,0.578
248.50,1.313
249.00,0.565
249.50,0.011
250.00,0.413
250.50,0.259
251.00,0.220
251.50,0.200
252.00,0.178
252.50,0.143
253.00,0.162
253.50,0.128
254.00,0.137
254.50,0.140
255.00,0.118
255.50,0.180
256.00,0.128
256.50,0.164
257.00,0.156
257.50,0.160
258.00,0.134
258.50,0.107
259.00,0.076
259.50,0.045
260.00,0.078
260.50,0.081
261.00,0.079
261.50,0.078
262.00,0.055
262.50,0.053
263.00,0.049
263.50,0.048
264.00,0.040
264.50,0.053
265.00,0.067
265.50,0.056
266.00,0.028
266.50,0.024
267.00,0.040
267.50,0.046
268.00,0.039
268.50,0.012
269.00,0.032
269.50,0.036
270.00,0.034
270.50,0.036
271.00,0.046
271.50,0.071
272.00,0.055
272.50,0.074
273.00,0.067
273.50,0.066
274.00,0.060
274.50,0.063
275.00,0.075
275.50,0.061
276.00,0.080
276.50,0.077
277.00,0.072
277.50,0.082
278.00,0.082
278.50,0.089
279.00,0.078
279.50,0.096
280.00,0.110
280.50,0.098
281.00,0.109
281.50,0.097
282.00,0.113
282.50,0.105
283.00,0.110
283.50,0.113
284.00,0.119
284.50,0.116
285.00,0.135
285.50,0.148
286.00,0.147
286.50,0.151
287.00,0.151
287.50,0.134
288.00,0.146
288.50,0.146
289.00,0.151
289.50,0.169
290.00,0.162
290.50,0.174
291.00,0.187
291.50,0.176
292.00,0.182
292.50,0.184
293.00,0.187
293.50,0.191
294.00,0.195
294.50,0.201
295.00,0.196
295.50,0.193
296.00,0.203
296.50,0.196
297.00,0.205
297.50,0.200
298.00,0.204
298.50,0.191
299.00,0.197
299.50,0.182
300.00,0.181
300.50,0.184
301.00,0.190
301.50,0.154
302.00,0.174
302.50,0.174
303.00,0.174
303.50,0.176
304.00,0.163
304.50,0.160
305.00,0.155
305.50,0.139
306.00,0.135
306.50,0.124
307.00,0.128
307.50,0.131
308.00,0.101
308.50,0.117
309.00,0.110
309.50,0.106
