"Storage 210727 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_210727.spc"
"Wavelength nm.","Abs."
190.00,0.754
190.50,0.755
191.00,0.874
191.50,0.845
192.00,0.695
192.50,0.848
193.00,0.834
193.50,0.888
194.00,0.704
194.50,0.713
195.00,0.713
195.50,0.811
196.00,0.686
196.50,0.826
197.00,0.664
197.50,0.649
198.00,0.648
198.50,0.630
199.00,0.710
199.50,0.785
200.00,0.814
200.50,0.807
201.00,0.726
201.50,0.747
202.00,0.717
202.50,0.702
203.00,0.691
203.50,0.736
204.00,0.699
204.50,0.693
205.00,0.634
205.50,0.609
206.00,0.595
206.50,0.579
207.00,0.550
207.50,0.557
208.00,0.530
208.50,0.472
209.00,0.503
209.50,0.458
210.00,0.442
210.50,0.414
211.00,0.395
211.50,0.336
212.00,0.368
212.50,0.353
213.00,0.316
213.50,0.327
214.00,0.314
214.50,0.301
215.00,0.275
215.50,0.262
216.00,0.257
216.50,0.255
217.00,0.252
217.50,0.290
218.00,0.241
218.50,0.260
219.00,0.267
219.50,0.250
220.00,0.261
220.50,0.276
221.00,0.278
221.50,0.276
222.00,0.290
222.50,0.304
223.00,0.330
223.50,0.321
224.00,0.317
224.50,0.327
225.00,0.364
225.50,0.367
226.00,0.360
226.50,0.358
227.00,0.372
227.50,0.379
228.00,0.386
228.50,0.413
229.00,0.414
229.50,0.393
230.00,0.417
230.50,0.404
231.00,0.422
231.50,0.421
232.00,0.416
232.50,0.417
233.00,0.425
233.50,0.422
234.00,0.425
234.50,0.404
235.00,0.401
235.50,0.403
236.00,0.411
236.50,0.397
237.00,0.383
237.50,0.377
238.00,0.374
238.50,0.363
239.00,0.352
239.50,0.343
240.00,0.345
240.50,0.329
241.00,0.323
241.50,0.322
242.00,0.321
242.50,0.325
243.00,0.303
243.50,0.308
244.00,0.315
244.50,0.314
245.00,0.324
245.50,0.295
246.00,0.294
246.50,0.292
247.00,0.310
247.50,0.309
248.00,0.313
248.50,0.296
249.00,0.294
249.50,0.288
250.00,0.299
250.50,0.301
251.00,0.309
251.50,0.304
252.00,0.310
252.50,0.309
253.00,0.306
253.50,0.299
254.00,0.309
254.50,0.308
255.00,0.314
255.50,0.296
256.00,0.289
256.50,0.284
257.00,0.278
257.50,0.267
258.00,0.245
258.50,0.219
259.00,0.201
259.50,0.192
260.00,0.166
260.50,0.162
261.00,0.164
261.50,0.133
262.00,0.134
262.50,0.121
263.00,0.122
263.50,0.119
264.00,0.114
264.50,0.104
265.00,0.119
265.50,0.123
266.00,0.109
266.50,0.106
267.00,0.100
267.50,0.107
268.00,0.101
268.50,0.095
269.00,0.104
269.50,0.103
270.00,0.107
270.50,0.103
271.00,0.100
271.50,0.098
272.00,0.104
272.50,0.107
273.00,0.097
273.50,0.108
274.00,0.099
274.50,0.117
275.00,0.117
275.50,0.125
276.00,0.120
276.50,0.123
277.00,0.131
277.50,0.121
278.00,0.131
278.50,0.141
279.00,0.137
279.50,0.143
280.00,0.156
280.50,0.145
281.00,0.144
281.50,0.142
282.00,0.155
282.50,0.159
283.00,0.146
283.50,0.162
284.00,0.168
284.50,0.171
285.00,0.165
285.50,0.179
286.00,0.183
286.50,0.181
287.00,0.188
287.50,0.189
288.00,0.187
288.50,0.205
289.00,0.196
289.50,0.210
290.00,0.216
290.50,0.205
291.00,0.220
291.50,0.223
292.00,0.225
292.50,0.231
293.00,0.242
293.50,0.223
294.00,0.236
294.50,0.240
295.00,0.255
295.50,0.259
296.00,0.269
296.50,0.256
297.00,0.254
297.50,0.251
298.00,0.230
298.50,0.250
299.00,0.225
299.50,0.224
300.00,0.209
300.50,0.224
301.00,0.225
301.50,0.217
302.00,0.230
302.50,0.213
303.00,0.198
303.50,0.199
304.00,0.195
304.50,0.198
305.00,0.191
305.50,0.178
306.00,0.170
306.50,0.182
307.00,0.169
307.50,0.160
308.00,0.152
308.50,0.165
309.00,0.140
309.50,0.135
310.00,0.143
310.50,0.126
311.00,0.110
311.50,0.128
312.00,0.117
312.50,0.105
313.00,0.112
313.50,0.122
314.00,0.119
314.50,0.121
315.00,0.109
315.50,0.104
316.00,0.107
316.50,0.104
