"Storage 213854 - RawData - C:\Documents and Settings\uvvis\Desktop\n\File_260414_213854.spc"
"Wavelength nm.","Abs."
190.00,0.898
190.50,0.313
191.00,5.000
191.50,5.000
192.00,-0.078
192.50,-0.201
193.00,0.418
193.50,-0.321
194.00,0.510
194.50,5.000
195.00,-0.200
195.50,2.318
196.00,5.000
196.50,5.000
197.00,5.000
197.50,-1.314
198.00,5.000
198.50,5.000
199.00,0.486
199.50,0.059
200.00,0.353
200.50,0.245
201.00,0.238
201.50,0.061
202.00,0.157
202.50,0.008
203.00,0.248
203.50,0.412
204.00,0.255
204.50,0.226
205.00,0.252
205.50,0.176
206.00,0.276
206.50,0.190
207.00,0.159
207.50,0.174
208.00,0.161
208.50,0.170
209.00,0.128
209.50,0.207
210.00,0.191
210.50,0.167
211.00,0.248
211.50,0.163
212.00,0.221
212.50,0.201
213.00,0.189
213.50,0.195
214.00,0.193
214.50,0.180
215.00,0.201
215.50,0.177
216.00,0.238
216.50,0.217
217.00,0.195
217.50,0.200
218.00,0.215
218.50,0.224
219.00,0.191
219.50,0.222
220.00,0.235
220.50,0.223
221.00,0.223
221.50,0.245
222.00,0.255
222.50,0.242
223.00,0.271
223.50,0.261
224.00,0.249
224.50,0.243
225.00,0.261
225.50,0.267
226.00,0.273
226.50,0.278
227.00,0.260
227.50,0.283
228.00,0.274
228.50,0.272
229.00,0.299
229.50,0.295
230.00,0.278
230.50,0.280
231.00,0.298
231.50,0.315
232.00,0.312
232.50,0.292
233.00,0.327
233.50,0.318
234.00,0.320
234.50,0.321
235.00,0.300
235.50,0.300
236.00,0.316
236.50,0.327
237.00,0.342
237.50,0.345
238.00,0.327
238.50,0.327
239.00,0.321
239.50,0.318
240.00,0.327
240.50,0.316
241.00,0.308
241.50,0.316
242.00,0.308
242.50,0.322
243.00,0.325
243.50,0.298
244.00,0.293
244.50,0.296
245.00,0.297
245.50,0.280
246.00,0.290
246.50,0.277
247.00,0.276
247.50,0.259
248.00,0.254
248.50,0.255
249.00,0.248
249.50,0.272
250.00,0.264
250.50,0.246
251.00,0.251
251.50,0.242
252.00,0.233
252.50,0.233
253.00,0.211
253.50,0.203
254.00,0.209
254.50,0.191
255.00,0.196
255.50,0.189
256.00,0.195
256.50,0.188
257.00,0.199
257.50,0.188
258.00,0.180
258.50,0.177
259.00,0.177
259.50,0.162
260.00,0.163
260.50,0.167
261.00,0.152
261.50,0.152
262.00,0.150
262.50,0.139
263.00,0.138
263.50,0.151
264.00,0.140
264.50,0.133
265.00,0.136
265.50,0.140
266.00,0.135
266.50,0.133
267.00,0.136
267.50,0.123
268.00,0.123
268.50,0.109
269.00,0.128
269.50,0.100
270.00,0.111
270.50,0.104
271.00,0.105
271.50,0.114
272.00,0.119
272.50,0.094
273.00,0.105
273.50,0.104
274.00,0.091
274.50,0.099
275.00,0.092
275.50,0.092
276.00,0.088
276.50,0.086
277.00,0.093
277.50,0.086
278.00,0.089
278.50,0.085
279.00,0.076
279.50,0.078
280.00,0.080
280.50,0.080
281.00,0.082
281.50,0.068
282.00,0.081
282.50,0.077
283.00,0.070
283.50,0.080
284.00,0.078
284.50,0.070
285.00,0.068
285.50,0.066
286.00,0.061
286.50,0.053
287.00,0.060
287.50,0.064
288.00,0.061
288.50,0.070
289.00,0.064
289.50,0.065
290.00,0.049
